Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
YBR024W	YBR024W_mRNA	YBR024W	SCO2	852312
YDL245C	YDL245C_mRNA	YDL245C	HXT15	851352
YBR232C	YBR232C_mRNA	YBR232C		
YDR320W-B	YDR320W-B_mRNA	YDR320W-B		
YBR021W	YBR021W_mRNA	YBR021W	FUR4	852309
YGR014W	YGR014W_mRNA	YGR014W	MSB2	852897
tT(AGU)O2	tT(AGU)O2_tRNA			
YKL119C	YKL119C_mRNA	YKL119C	VPH2	853741
YPR031W	YPR031W_mRNA	YPR031W	NTO1	856143
YKL066W	YKL066W_mRNA	YKL066W		
YJL076W	YJL076W_mRNA	YJL076W	NET1	853369
YPL174C	YPL174C_mRNA	YPL174C	NIP100	855929
YIL003W	YIL003W_mRNA	YIL003W	CFD1	854814
YML066C	YML066C_mRNA	YML066C	SMA2	854936
YMR129W	YMR129W_mRNA	YMR129W	POM152	855159
YBR140C	YBR140C_mRNA	YBR140C	IRA1	852437
YGR242W	YGR242W_mRNA	YGR242W		
YKR047W	YKR047W_mRNA	YKR047W		
YKL029C	YKL029C_mRNA	YKL029C	MAE1	853839
YLR154C-G	YLR154C-G_mRNA	YLR154C-G		1466409
YPL028W	YPL028W_mRNA	YPL028W	ERG10	856079
YDL235C	YDL235C_mRNA	YDL235C	YPD1	851363
tR(ACG)E	tR(ACG)E_tRNA			
YER091C	YER091C_mRNA	YER091C	MET6	856825
YMR121C	YMR121C_mRNA	YMR121C	RPL15B	855150
YDR356W	YDR356W_mRNA	YDR356W	SPC110	851957
YDR337W	YDR337W_mRNA	YDR337W	MRPS28	851937
YKL008C	YKL008C_mRNA	YKL008C	LAC1	853861
YER055C	YER055C_mRNA	YER055C	HIS1	856782
YFR004W	YFR004W_mRNA	YFR004W	RPN11	850554
YDR108W	YDR108W_mRNA	YDR108W	TRS85	851686
YDL200C	YDL200C_mRNA	YDL200C	MGT1	851327
YJR134C	YJR134C_mRNA	YJR134C	SGM1	853598
Q0158	Q0158_rRNA		21S_RRNA	
YMR135C	YMR135C_mRNA	YMR135C	GID8	855166
YGR012W	YGR012W_mRNA	YGR012W	MCY1	852895
YNL244C	YNL244C_mRNA	YNL244C	SUI1	855477
YCR024C-A	YCR024C-A_mRNA	YCR024C-A	PMP1	850389
YOR027W	YOR027W_mRNA	YOR027W	STI1	854192
YBL101C	YBL101C_mRNA	YBL101C	ECM21	852173
YLL040C	YLL040C_mRNA	YLL040C	VPS13	850619
YDR181C	YDR181C_mRNA	YDR181C	SAS4	851762
YML116W-A	YML116W-A_mRNA	YML116W-A		
tG(UCC)O	tG(UCC)O_tRNA		SUF1	
YPR096C	YPR096C_mRNA	YPR096C		856211
YJL210W	YJL210W_mRNA	YJL210W	PEX2	853219
YLR216C	YLR216C_mRNA	YLR216C	CPR6	850914
YGL118C	YGL118C_mRNA	YGL118C		
YMR021C	YMR021C_mRNA	YMR021C	MAC1	855035
YNL079C	YNL079C_mRNA	YNL079C	TPM1	855645
YBL058W	YBL058W_mRNA	YBL058W	SHP1	852222
YJR127C	YJR127C_mRNA	YJR127C	RSF2	853592
YLR088W	YLR088W_mRNA	YLR088W	GAA1	850777
YKL128C	YKL128C_mRNA	YKL128C	PMU1	853730
YLR100W	YLR100W_mRNA	YLR100W	ERG27	850790
YKL106C-A	YKL106C-A_mRNA	YKL106C-A		853754
YBR080C	YBR080C_mRNA	YBR080C	SEC18	852372
YOR292C	YOR292C_mRNA	YOR292C		854467
YNL219C	YNL219C_mRNA	YNL219C	ALG9	855502
YPR179C	YPR179C_mRNA	YPR179C	HDA3	856309
YOL062C	YOL062C_mRNA	YOL062C	APM4	854092
YDR540C	YDR540C_mRNA	YDR540C	IRC4	852153
YER087W	YER087W_mRNA	YER087W	AIM10	856820
YOL140W	YOL140W_mRNA	YOL140W	ARG8	854025
YFL009W	YFL009W_mRNA	YFL009W	CDC4	850539
YLL004W	YLL004W_mRNA	YLL004W	ORC3	850656
YKL057C	YKL057C_mRNA	YKL057C	NUP120	853808
YPL130W	YPL130W_mRNA	YPL130W	SPO19	855973
YDL046W	YDL046W_mRNA	YDL046W	NPC2	851514
YPL072W	YPL072W_mRNA	YPL072W	UBP16	856032
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	
YPR150W	YPR150W_mRNA	YPR150W		
YER180C	YER180C_mRNA	YER180C	ISC10	856927
YGL157W	YGL157W_mRNA	YGL157W	ARI1	852720
YDR252W	YDR252W_mRNA	YDR252W	BTT1	851839
YLR037C	YLR037C_mRNA	YLR037C	PAU23	850726
YMR307W	YMR307W_mRNA	YMR307W	GAS1	855355
YIL116W	YIL116W_mRNA	YIL116W	HIS5	854690
YAL040C	YAL040C_mRNA	YAL040C	CLN3	851191
YGL232W	YGL232W_mRNA	YGL232W	TAN1	852619
YHR181W	YHR181W_mRNA	YHR181W	SVP26	856587
YBR051W	YBR051W_mRNA	YBR051W		
YPL259C	YPL259C_mRNA	YPL259C	APM1	855869
YDR461C-A	YDR461C-A_mRNA	YDR461C-A		3799972
YJL087C	YJL087C_mRNA	YJL087C	TRL1	853358
YIR005W	YIR005W_mRNA	YIR005W	IST3	854821
YDL080C	YDL080C_mRNA	YDL080C	THI3	851479
YJL209W	YJL209W_mRNA	YJL209W	CBP1	853221
YLR286C	YLR286C_mRNA	YLR286C	CTS1	850992
YEL044W	YEL044W_mRNA	YEL044W	IES6	856667
YOR371C	YOR371C_mRNA	YOR371C	GPB1	854553
YLR071C	YLR071C_mRNA	YLR071C	RGR1	850760
YBL050W	YBL050W_mRNA	YBL050W	SEC17	852230
YOR025W	YOR025W_mRNA	YOR025W	HST3	854190
YHL001W	YHL001W_mRNA	YHL001W	RPL14B	856388
YJR042W	YJR042W_mRNA	YJR042W	NUP85	853499
YNL185C	YNL185C_mRNA	YNL185C	MRPL19	855536
YBR129C	YBR129C_mRNA	YBR129C	OPY1	852426
YKL145W	YKL145W_mRNA	YKL145W	RPT1	853712
YIL015W	YIL015W_mRNA	YIL015W	BAR1	854797
YPL018W	YPL018W_mRNA	YPL018W	CTF19	856089
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	850857
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	850855
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	850852
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	850850
YIL047C	YIL047C_mRNA	YIL047C	SYG1	854764
YBL039C-A	YBL039C-A_mRNA	YBL039C-A		
YOR061W	YOR061W_mRNA	YOR061W	CKA2	854227
