! Generated using Ensembl 109 and BioGRID 4.4.219
! Total interactions processed: 10152
! total interactions mapped successfully: 6230
! total filtered unmapped: 343
! % interactions unmapped: 5.506%
! total unmappable IDs (including duplicates): 350
! % IDs unmappable (including duplicates): 2.73224%
! total unmappable proteins (excluding duplicates): 81
! non-physical interactions filtered out: 172
! non-experimental interactions filtered out: 8
! self-loops filtered out: 87
! interspecies interactions filtered out: 3312

! 24176 occurs 7 times 	2.0%
! 161475 occurs 3 times 	0.8999999999999999%
! 290215 occurs 1 times 	0.3%
! 24525 occurs 16 times 	4.6%
! 360573 occurs 5 times 	1.4000000000000001%
! 315350 occurs 1 times 	0.3%
! 25301 occurs 3 times 	0.8999999999999999%
! 499417 occurs 190 times 	54.300000000000004%
! 499423 occurs 1 times 	0.3%
! 297756 occurs 1 times 	0.3%
! 500983 occurs 1 times 	0.3%
! 300833 occurs 1 times 	0.3%
! 688509 occurs 2 times 	0.6%
! 684969 occurs 1 times 	0.3%
! 305123 occurs 11 times 	3.1%
! 171128 occurs 2 times 	0.6%
! 114856 occurs 2 times 	0.6%
! 691496 occurs 2 times 	0.6%
! 29550 occurs 1 times 	0.3%
! 117517 occurs 1 times 	0.3%
! 364694 occurs 1 times 	0.3%
! 78948 occurs 4 times 	1.0999999999999999%
! 691974 occurs 1 times 	0.3%
! 64356 occurs 2 times 	0.6%
! 687506 occurs 1 times 	0.3%
! 362816 occurs 3 times 	0.8999999999999999%
! 445438 occurs 2 times 	0.6%
! 24252 occurs 4 times 	1.0999999999999999%
! 293418 occurs 2 times 	0.6%
! 29748 occurs 2 times 	0.6%
! 680063 occurs 1 times 	0.3%
! 295274 occurs 1 times 	0.3%
! 445271 occurs 1 times 	0.3%
! 100360426 occurs 1 times 	0.3%
! 64373 occurs 1 times 	0.3%
! 296197 occurs 2 times 	0.6%
! 364716 occurs 1 times 	0.3%
! 315649 occurs 1 times 	0.3%
! 24224 occurs 1 times 	0.3%
! 679910 occurs 1 times 	0.3%
! 503073 occurs 1 times 	0.3%
! 501206 occurs 1 times 	0.3%
! 687994 occurs 1 times 	0.3%
! 365662 occurs 1 times 	0.3%
! 311033 occurs 1 times 	0.3%
! 289641 occurs 1 times 	0.3%
! 100910660 occurs 1 times 	0.3%
! 498099 occurs 1 times 	0.3%
! 307498 occurs 4 times 	1.0999999999999999%
! 301438 occurs 1 times 	0.3%
! 366605 occurs 1 times 	0.3%
! 360865 occurs 1 times 	0.3%
! 310587 occurs 1 times 	0.3%
! 297755 occurs 3 times 	0.8999999999999999%
! 499382 occurs 1 times 	0.3%
! 360860 occurs 2 times 	0.6%
! 295213 occurs 3 times 	0.8999999999999999%
! 29473 occurs 2 times 	0.6%
! 64672 occurs 1 times 	0.3%
! 100361915 occurs 1 times 	0.3%
! 27139 occurs 1 times 	0.3%
! 64832 occurs 1 times 	0.3%
! 103690190 occurs 1 times 	0.3%
! 299357 occurs 1 times 	0.3%
! 287624 occurs 1 times 	0.3%
! 100360169 occurs 1 times 	0.3%
! 50685 occurs 4 times 	1.0999999999999999%
! 100363770 occurs 2 times 	0.6%
! 100361520 occurs 2 times 	0.6%
! 100363345 occurs 1 times 	0.3%
! 100359980 occurs 1 times 	0.3%
! 294254 occurs 1 times 	0.3%
! 685186 occurs 1 times 	0.3%
! 300303 occurs 1 times 	0.3%
! 89823 occurs 11 times 	3.1%
! 300253 occurs 1 times 	0.3%
! 363248 occurs 1 times 	0.3%
! 690795 occurs 1 times 	0.3%
! 24641 occurs 1 times 	0.3%
! 300069 occurs 1 times 	0.3%
! 406198 occurs 1 times 	0.3%

ENSRNOG00000000457	ENSRNOG00000000455
ENSRNOG00000000805	ENSRNOG00000000204
ENSRNOG00000000818	ENSRNOG00000000805
ENSRNOG00000000875	ENSRNOG00000000805
ENSRNOG00000000923	ENSRNOG00000000805
ENSRNOG00000000938	ENSRNOG00000000805
ENSRNOG00000000994	ENSRNOG00000000936
ENSRNOG00000001058	ENSRNOG00000000805
ENSRNOG00000001129	ENSRNOG00000000164
ENSRNOG00000001129	ENSRNOG00000000565
ENSRNOG00000001129	ENSRNOG00000000866
ENSRNOG00000001129	ENSRNOG00000000923
ENSRNOG00000001129	ENSRNOG00000001069
ENSRNOG00000001136	ENSRNOG00000000805
ENSRNOG00000001142	ENSRNOG00000000471
ENSRNOG00000001142	ENSRNOG00000000505
ENSRNOG00000001142	ENSRNOG00000000938
ENSRNOG00000001142	ENSRNOG00000001068
ENSRNOG00000001148	ENSRNOG00000000805
ENSRNOG00000001148	ENSRNOG00000001142
ENSRNOG00000001171	ENSRNOG00000000805
ENSRNOG00000001177	ENSRNOG00000000805
ENSRNOG00000001274	ENSRNOG00000000805
ENSRNOG00000001285	ENSRNOG00000000805
ENSRNOG00000001285	ENSRNOG00000001142
ENSRNOG00000001295	ENSRNOG00000000439
ENSRNOG00000001300	ENSRNOG00000001296
ENSRNOG00000001409	ENSRNOG00000001142
ENSRNOG00000001414	ENSRNOG00000001069
ENSRNOG00000001414	ENSRNOG00000001129
ENSRNOG00000001436	ENSRNOG00000000805
ENSRNOG00000001440	ENSRNOG00000000805
ENSRNOG00000001592	ENSRNOG00000001129
ENSRNOG00000001597	ENSRNOG00000000513
ENSRNOG00000001611	ENSRNOG00000001142
ENSRNOG00000001662	ENSRNOG00000001448
ENSRNOG00000001717	ENSRNOG00000000805
ENSRNOG00000001719	ENSRNOG00000000805
ENSRNOG00000001719	ENSRNOG00000001129
ENSRNOG00000001719	ENSRNOG00000001142
ENSRNOG00000001736	ENSRNOG00000000805
ENSRNOG00000001738	ENSRNOG00000000805
ENSRNOG00000001815	ENSRNOG00000000805
ENSRNOG00000001849	ENSRNOG00000000274
ENSRNOG00000001849	ENSRNOG00000000505
ENSRNOG00000001849	ENSRNOG00000001068
ENSRNOG00000001849	ENSRNOG00000001148
ENSRNOG00000001849	ENSRNOG00000001214
ENSRNOG00000001849	ENSRNOG00000001253
ENSRNOG00000001849	ENSRNOG00000001368
ENSRNOG00000001849	ENSRNOG00000001517
ENSRNOG00000001849	ENSRNOG00000001611
ENSRNOG00000001849	ENSRNOG00000001706
ENSRNOG00000001849	ENSRNOG00000001709
ENSRNOG00000001849	ENSRNOG00000001719
ENSRNOG00000001849	ENSRNOG00000001796
ENSRNOG00000001868	ENSRNOG00000001149
ENSRNOG00000001878	ENSRNOG00000001129
ENSRNOG00000001991	ENSRNOG00000001142
ENSRNOG00000002051	ENSRNOG00000001849
ENSRNOG00000002094	ENSRNOG00000000157
ENSRNOG00000002115	ENSRNOG00000000805
ENSRNOG00000002270	ENSRNOG00000000805
ENSRNOG00000002292	ENSRNOG00000000805
ENSRNOG00000002301	ENSRNOG00000001142
ENSRNOG00000002318	ENSRNOG00000000805
ENSRNOG00000002525	ENSRNOG00000001069
ENSRNOG00000002525	ENSRNOG00000001849
ENSRNOG00000002767	ENSRNOG00000001849
ENSRNOG00000002790	ENSRNOG00000000805
ENSRNOG00000002818	ENSRNOG00000001142
ENSRNOG00000002833	ENSRNOG00000001849
ENSRNOG00000002840	ENSRNOG00000000805
ENSRNOG00000002840	ENSRNOG00000001142
ENSRNOG00000002886	ENSRNOG00000001142
ENSRNOG00000002911	ENSRNOG00000000805
ENSRNOG00000002991	ENSRNOG00000001849
