! Generated using Ensembl 109 and BioGRID 4.4.222
! Total interactions processed: 10159
! total interactions mapped successfully: 6230
! total filtered unmapped: 349
! % interactions unmapped: 5.602%
! total unmappable IDs (including duplicates): 356
! % IDs unmappable (including duplicates): 2.77778%
! total unmappable proteins (excluding duplicates): 83
! non-physical interactions filtered out: 173
! non-experimental interactions filtered out: 8
! self-loops filtered out: 87
! interspecies interactions filtered out: 3312

! 24176 occurs 7 times 	2.0%
! 161475 occurs 3 times 	0.8%
! 24525 occurs 16 times 	4.5%
! 360573 occurs 5 times 	1.4000000000000001%
! 315350 occurs 1 times 	0.3%
! 25301 occurs 3 times 	0.8%
! 362342 occurs 1 times 	0.3%
! 499417 occurs 190 times 	53.400000000000006%
! 499423 occurs 1 times 	0.3%
! 297756 occurs 1 times 	0.3%
! 500983 occurs 1 times 	0.3%
! 300833 occurs 1 times 	0.3%
! 688509 occurs 2 times 	0.6%
! 684969 occurs 1 times 	0.3%
! 305123 occurs 11 times 	3.1%
! 171128 occurs 2 times 	0.6%
! 114856 occurs 2 times 	0.6%
! 691496 occurs 2 times 	0.6%
! 29550 occurs 1 times 	0.3%
! 117517 occurs 1 times 	0.3%
! 364694 occurs 1 times 	0.3%
! 78948 occurs 4 times 	1.0999999999999999%
! 691974 occurs 1 times 	0.3%
! 64356 occurs 2 times 	0.6%
! 687506 occurs 1 times 	0.3%
! 362816 occurs 3 times 	0.8%
! 24273 occurs 1 times 	0.3%
! 445438 occurs 2 times 	0.6%
! 246760 occurs 1 times 	0.3%
! 24252 occurs 4 times 	1.0999999999999999%
! 293418 occurs 2 times 	0.6%
! 29748 occurs 2 times 	0.6%
! 58979 occurs 2 times 	0.6%
! 680063 occurs 1 times 	0.3%
! 295274 occurs 1 times 	0.3%
! 445271 occurs 1 times 	0.3%
! 100360426 occurs 1 times 	0.3%
! 64373 occurs 1 times 	0.3%
! 296197 occurs 2 times 	0.6%
! 364716 occurs 1 times 	0.3%
! 24224 occurs 1 times 	0.3%
! 679910 occurs 1 times 	0.3%
! 503073 occurs 1 times 	0.3%
! 501206 occurs 1 times 	0.3%
! 687994 occurs 1 times 	0.3%
! 365662 occurs 1 times 	0.3%
! 289641 occurs 1 times 	0.3%
! 100910660 occurs 1 times 	0.3%
! 498099 occurs 1 times 	0.3%
! 301438 occurs 1 times 	0.3%
! 366605 occurs 1 times 	0.3%
! 24517 occurs 1 times 	0.3%
! 296278 occurs 5 times 	1.4000000000000001%
! 310587 occurs 1 times 	0.3%
! 297755 occurs 3 times 	0.8%
! 499382 occurs 1 times 	0.3%
! 360860 occurs 2 times 	0.6%
! 295213 occurs 3 times 	0.8%
! 29473 occurs 2 times 	0.6%
! 64672 occurs 1 times 	0.3%
! 27139 occurs 1 times 	0.3%
! 64832 occurs 1 times 	0.3%
! 103690190 occurs 1 times 	0.3%
! 299357 occurs 1 times 	0.3%
! 287624 occurs 1 times 	0.3%
! 29478 occurs 1 times 	0.3%
! 310533 occurs 3 times 	0.8%
! 100360169 occurs 1 times 	0.3%
! 50685 occurs 4 times 	1.0999999999999999%
! 100363770 occurs 2 times 	0.6%
! 100361520 occurs 2 times 	0.6%
! 100363345 occurs 1 times 	0.3%
! 100359980 occurs 1 times 	0.3%
! 294254 occurs 1 times 	0.3%
! 685186 occurs 1 times 	0.3%
! 300303 occurs 1 times 	0.3%
! 89823 occurs 11 times 	3.1%
! 300253 occurs 1 times 	0.3%
! 363248 occurs 1 times 	0.3%
! 690795 occurs 1 times 	0.3%
! 24641 occurs 1 times 	0.3%
! 300069 occurs 1 times 	0.3%
! 406198 occurs 1 times 	0.3%

ENSRNOP00000001054	ENSRNOP00000000514
ENSRNOP00000001247	ENSRNOP00000001054
ENSRNOP00000001500	ENSRNOP00000001054
ENSRNOP00000001508	ENSRNOP00000000550
ENSRNOP00000001508	ENSRNOP00000001247
ENSRNOP00000001518	ENSRNOP00000001054
ENSRNOP00000001518	ENSRNOP00000001508
ENSRNOP00000001547	ENSRNOP00000001054
ENSRNOP00000001717	ENSRNOP00000001054
ENSRNOP00000001738	ENSRNOP00000001054
ENSRNOP00000001738	ENSRNOP00000001508
ENSRNOP00000001916	ENSRNOP00000001415
ENSRNOP00000002174	ENSRNOP00000000618
ENSRNOP00000002194	ENSRNOP00000001508
ENSRNOP00000002338	ENSRNOP00000001054
ENSRNOP00000002358	ENSRNOP00000001054
ENSRNOP00000002358	ENSRNOP00000001508
ENSRNOP00000002366	ENSRNOP00000001054
ENSRNOP00000002732	ENSRNOP00000001508
ENSRNOP00000003106	ENSRNOP00000001054
ENSRNOP00000003158	ENSRNOP00000001054
ENSRNOP00000003567	ENSRNOP00000001415
ENSRNOP00000003921	ENSRNOP00000001054
ENSRNOP00000003965	ENSRNOP00000001054
ENSRNOP00000003965	ENSRNOP00000001508
ENSRNOP00000004278	ENSRNOP00000001054
ENSRNOP00000004278	ENSRNOP00000001508
ENSRNOP00000004382	ENSRNOP00000001054
ENSRNOP00000004716	ENSRNOP00000001054
ENSRNOP00000004797	ENSRNOP00000001054
ENSRNOP00000004836	ENSRNOP00000001054
ENSRNOP00000004911	ENSRNOP00000001508
ENSRNOP00000005370	ENSRNOP00000001054
ENSRNOP00000005470	ENSRNOP00000003567
ENSRNOP00000005471	ENSRNOP00000001054
ENSRNOP00000005471	ENSRNOP00000001508
ENSRNOP00000005588	ENSRNOP00000001508
ENSRNOP00000006109	ENSRNOP00000001054
ENSRNOP00000006754	ENSRNOP00000001508
ENSRNOP00000006777	ENSRNOP00000004717
ENSRNOP00000007219	ENSRNOP00000005917
ENSRNOP00000008200	ENSRNOP00000001054
ENSRNOP00000008999	ENSRNOP00000002812
ENSRNOP00000009046	ENSRNOP00000001508
ENSRNOP00000009564	ENSRNOP00000003072
ENSRNOP00000009839	ENSRNOP00000001054
ENSRNOP00000010084	ENSRNOP00000000618
ENSRNOP00000010158	ENSRNOP00000001054
ENSRNOP00000010545	ENSRNOP00000001054
ENSRNOP00000010633	ENSRNOP00000001054
ENSRNOP00000010755	ENSRNOP00000006393
ENSRNOP00000011052	ENSRNOP00000002812
ENSRNOP00000011314	ENSRNOP00000001508
ENSRNOP00000011394	ENSRNOP00000002812
ENSRNOP00000011466	ENSRNOP00000006849
ENSRNOP00000011644	ENSRNOP00000001054
ENSRNOP00000011948	ENSRNOP00000003458
ENSRNOP00000012376	ENSRNOP00000001054
ENSRNOP00000012376	ENSRNOP00000001508
ENSRNOP00000012739	ENSRNOP00000011130
ENSRNOP00000012854	ENSRNOP00000011466
ENSRNOP00000012924	ENSRNOP00000008416
ENSRNOP00000013238	ENSRNOP00000001054
ENSRNOP00000013272	ENSRNOP00000002812
ENSRNOP00000013384	ENSRNOP00000001054
ENSRNOP00000013400	ENSRNOP00000000163
ENSRNOP00000013608	ENSRNOP00000001508
ENSRNOP00000013612	ENSRNOP00000001054
ENSRNOP00000013852	ENSRNOP00000001508
ENSRNOP00000013900	ENSRNOP00000009705
ENSRNOP00000014058	ENSRNOP00000001054
ENSRNOP00000014207	ENSRNOP00000001054
ENSRNOP00000014320	ENSRNOP00000003072
ENSRNOP00000014320	ENSRNOP00000009564
ENSRNOP00000014658	ENSRNOP00000001054
ENSRNOP00000014704	ENSRNOP00000001054
ENSRNOP00000014704	ENSRNOP00000014382
ENSRNOP00000014780	ENSRNOP00000001508
