Gene stable ID	RefSeq peptide ID
ENSDARG00000042370	
ENSDARG00000097746	
ENSDARG00000078991	
ENSDARG00000102845	
ENSDARG00000096908	NP_001313511
ENSDARG00000101567	
ENSDARG00000093957	NP_001313480
ENSDARG00000093686	
ENSDARG00000090836	
ENSDARG00000097503	
ENSDARG00000101567	NP_956950
ENSDARG00000101917	
ENSDARG00000101700	
ENSDARG00000063150	
ENSDARG00000068100	
ENSDARG00000058593	NP_956667
ENSDARG00000089622	
ENSDARG00000057536	NP_001018131
ENSDARG00000079187	
ENSDARG00000088699	
ENSDARG00000086623	
ENSDARG00000089794	
ENSDARG00000054162	
ENSDARG00000027088	NP_998799
ENSDARG00000014806	NP_956155
ENSDARG00000013203	
ENSDARG00000093469	
ENSDARG00000095756	
ENSDARG00000014806	
ENSDARG00000012892	NP_956875
ENSDARG00000012016	NP_001313470
ENSDARG00000077368	
ENSDARG00000007671	NP_001104551
ENSDARG00000063341	NP_001122157
ENSDARG00000043673	NP_001038475
ENSDARG00000077717	
ENSDARG00000028259	
ENSDARG00000044875	
ENSDARG00000007671	
ENSDARG00000024116	NP_956053
ENSDARG00000077368	NP_991214
ENSDARG00000008788	NP_957123
ENSDARG00000022045	
ENSDARG00000078271	
ENSDARG00000079632	NP_001243129
ENSDARG00000044956	
ENSDARG00000013174	NP_001182544
ENSDARG00000077717	NP_001003434
ENSDARG00000077717	NP_001230107
ENSDARG00000096666	
ENSDARG00000027602	
ENSDARG00000011743	
ENSDARG00000027602	NP_956909
ENSDARG00000103484	
ENSDARG00000028259	NP_997814
ENSDARG00000056498	
ENSDARG00000039365	
ENSDARG00000057460	NP_001002408
ENSDARG00000041203	NP_991104
ENSDARG00000036510	NP_997751
ENSDARG00000021899	NP_001003417
ENSDARG00000009885	
ENSDARG00000098937	
ENSDARG00000101083	NP_001103759
ENSDARG00000011196	NP_997796
ENSDARG00000095730	
ENSDARG00000013251	
ENSDARG00000021899	
ENSDARG00000101083	
ENSDARG00000063347	
ENSDARG00000036510	
ENSDARG00000096619	
ENSDARG00000097973	
ENSDARG00000074552	
ENSDARG00000098237	
ENSDARG00000013251	NP_001315137
ENSDARG00000102705	NP_956519
ENSDARG00000100594	
ENSDARG00000039365	NP_001017994
ENSDARG00000007601	
ENSDARG00000018066	
ENSDARG00000093448	NP_001002398
ENSDARG00000100083	NP_001007362
ENSDARG00000063347	NP_001314961
ENSDARG00000090624	
ENSDARG00000045299	
ENSDARG00000040180	
ENSDARG00000088316	
ENSDARG00000015015	NP_001002439
ENSDARG00000074552	NP_001186841
ENSDARG00000044956	NP_001025403
ENSDARG00000059855	
ENSDARG00000099499	NP_998582
ENSDARG00000100083	
ENSDARG00000058597	
ENSDARG00000057013	NP_001038711
ENSDARG00000040180	NP_001122283
ENSDARG00000015015	
ENSDARG00000009657	NP_956249
ENSDARG00000019406	NP_956742
ENSDARG00000030945	
ENSDARG00000021220	NP_957509
ENSDARG00000099499	
ENSDARG00000020201	NP_956642
ENSDARG00000005775	NP_571703
ENSDARG00000028088	NP_001006002
ENSDARG00000030335	NP_996981
ENSDARG00000078954	
ENSDARG00000057013	
ENSDARG00000055610	
ENSDARG00000073707	
ENSDARG00000021220	
ENSDARG00000030335	
ENSDARG00000036994	NP_001006076
ENSDARG00000005775	
ENSDARG00000037429	NP_571085
ENSDARG00000008380	NP_998531
ENSDARG00000020201	NP_001278325
ENSDARG00000053344	
ENSDARG00000096156	
ENSDARG00000069827	NP_001103328
ENSDARG00000058597	NP_955854
ENSDARG00000077996	
ENSDARG00000071457	NP_001122266
ENSDARG00000004953	NP_001122144
ENSDARG00000043912	NP_001153485
ENSDARG00000076160	
ENSDARG00000037429	
ENSDARG00000043912	
ENSDARG00000088571	NP_001352779
ENSDARG00000089645	
ENSDARG00000036994	
ENSDARG00000044808	
ENSDARG00000094524	
ENSDARG00000088571	
ENSDARG00000063311	
ENSDARG00000095946	
ENSDARG00000004953	
ENSDARG00000097245	
ENSDARG00000076213	
ENSDARG00000117163	
ENSDARG00000087835	
ENSDARG00000071037	NP_956939
ENSDARG00000098237	NP_001129262
ENSDARG00000030156	
ENSDARG00000017905	
ENSDARG00000103883	
ENSDARG00000041429	NP_956128
ENSDARG00000031283	NP_998563
ENSDARG00000039501	NP_001138283
ENSDARG00000095704	
ENSDARG00000076499	
ENSDARG00000039501	
ENSDARG00000042807	
ENSDARG00000031283	
ENSDARG00000061194	
ENSDARG00000090889	
ENSDARG00000097406	
ENSDARG00000023053	
ENSDARG00000042807	NP_001074068
ENSDARG00000031420	NP_571121
ENSDARG00000058231	NP_001073435
ENSDARG00000068515	
ENSDARG00000105068	NP_001258702
ENSDARG00000035427	
ENSDARG00000061864	
ENSDARG00000070959	
ENSDARG00000102585	
ENSDARG00000070127	
ENSDARG00000002508	
ENSDARG00000074056	
ENSDARG00000035427	NP_957359
ENSDARG00000040465	NP_001315303
ENSDARG00000041429	
ENSDARG00000062562	
ENSDARG00000099304	
ENSDARG00000038359	
ENSDARG00000088885	NP_001292504
ENSDARG00000096187	
ENSDARG00000094425	
ENSDARG00000076014	
ENSDARG00000059354	NP_001004580
ENSDARG00000101009	
ENSDARG00000056680	NP_001014827
ENSDARG00000086327	
ENSDARG00000026871	NP_958885
ENSDARG00000025346	NP_956724
ENSDARG00000098876	
ENSDARG00000075556	
ENSDARG00000033466	NP_963870
ENSDARG00000055610	NP_956898
ENSDARG00000056065	NP_001037805
ENSDARG00000090194	NP_001315002
ENSDARG00000038359	NP_001070210
ENSDARG00000040465	NP_001307117
ENSDARG00000101009	NP_956372
ENSDARG00000033466	
ENSDARG00000044924	NP_998140
ENSDARG00000093833	NP_001243612
ENSDARG00000062146	NP_001071030
ENSDARG00000102061	NP_996984
ENSDARG00000028066	NP_956125
ENSDARG00000068515	NP_001303255
ENSDARG00000060008	
ENSDARG00000031930	
ENSDARG00000095879	NP_956917
ENSDARG00000033227	NP_001041520
ENSDARG00000069504	
ENSDARG00000005616	NP_571316
ENSDARG00000023645	
ENSDARG00000013492	NP_001116183
ENSDARG00000092813	
ENSDARG00000008457	NP_001002700
ENSDARG00000016038	NP_001038449
