Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name	RefSeq peptide ID
WBGene00000001	Y110A7A.10.1	Y110A7A.10.1	172141		G5EDP9	aap-1	NP_491522	
WBGene00000002	F27C8.1.1	F27C8.1.1	177793		Q19834	aat-1	NP_501707	
WBGene00000003	F07C3.7.1	F07C3.7.1	184126		Q19151	aat-2	NP_505394	
WBGene00000004	F52H2.2a.1	F52H2.2a.1	180557		O17395	aat-3	NP_001300351	
WBGene00000004	F52H2.2b.1	F52H2.2b.1	180557		A0A0K3AVL7	aat-3	NP_001300351	
WBGene00000005	T13A10.10a.1	T13A10.10a.1	177388		Q7YXH5	aat-4	NP_001023382	
WBGene00000006	C55C2.5a.1	C55C2.5a.1	171814		H2KZG9	aat-5	NP_491002	
WBGene00000007	T11F9.4a.1	T11F9.4a.1	188421	Q22397		aat-6	NP_001123014	
WBGene00000007	T11F9.4b.1	T11F9.4b.1	188421	Q22397		aat-6	NP_001123014	
WBGene00000008	F54D12.3.1	F54D12.3.1	186240		O44832	aat-7	NP_493960	
WBGene00000009	F28F9.4.1	F28F9.4.1	185079		Q94197	aat-8	NP_500425	
WBGene00000010	Y53H1C.1a.1	Y53H1C.1a.1	190250		Q9NA91	aat-9	NP_001021789	
WBGene00000010	Y53H1C.1b.1	Y53H1C.1b.1	190250		Q56VY0	aat-9	NP_001021789	
WBGene00000012	C50F2.9.1	C50F2.9.1	266827	G5EGC4		abf-1	NP_491253	
WBGene00000013	C50F2.10.1	C50F2.10.1	266826	G5EC68		abf-2	NP_491252	
WBGene00000014	F54B8.5.1	F54B8.5.1	186202		O45563	abf-3	NP_506950	
WBGene00000015	Y38H6C.22.1	Y38H6C.22.1	189702		Q9XX40	abf-4	NP_507965	
WBGene00000016	T22H6.5.1	T22H6.5.1	188770		G5EFQ2	abf-5	NP_510136	
WBGene00000017	T22H6.7.1	T22H6.7.1	181418		G5EBS3	abf-6	NP_741914	
WBGene00000018	M79.1a.1	M79.1a.1	181261	P03949		abl-1	NP_001368776	
WBGene00000018	M79.1b.1	M79.1b.1	181261	P03949		abl-1	NP_001368776	
WBGene00000018	M79.1c.1	M79.1c.1	181261	P03949		abl-1	NP_001368776	
WBGene00000018	M79.1d.1	M79.1d.1	181261		A0A5E4LZL8	abl-1	NP_001368776	
