Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
ENSRNOG00000066169	ENSRNOT00000101581	ENSRNOP00000083062		
ENSRNOG00000064641	ENSRNOT00000105380	ENSRNOP00000085786		
ENSRNOG00000033395	ENSRNOT00000044979	ENSRNOP00000041116	Olr473	295744
ENSRNOG00000066660	ENSRNOT00000094775	ENSRNOP00000080865		
ENSRNOG00000070168	ENSRNOT00000087667	ENSRNOP00000069187	Olr56	293205
ENSRNOG00000070901	ENSRNOT00000119508	ENSRNOP00000082584	Irgq	292708
ENSRNOG00000064338	ENSRNOT00000096208			
ENSRNOG00000064338	ENSRNOT00000101383			
ENSRNOG00000064338	ENSRNOT00000101998			
ENSRNOG00000018029	ENSRNOT00000024353	ENSRNOP00000024353	Doc2g	293654
ENSRNOG00000031391	ENSRNOT00000045306	ENSRNOP00000041331	Ceacam16	292700
ENSRNOG00000055342	ENSRNOT00000084106		U7	120100214
ENSRNOG00000068698	ENSRNOT00000110046			
ENSRNOG00000064173	ENSRNOT00000119364			
ENSRNOG00000067904	ENSRNOT00000099225		SNORD115	120100281
ENSRNOG00000063979	ENSRNOT00000081030		U4	
ENSRNOG00000064851	ENSRNOT00000100743			
ENSRNOG00000067593	ENSRNOT00000099750			
ENSRNOG00000067593	ENSRNOT00000097468			
ENSRNOG00000063562	ENSRNOT00000106905			
ENSRNOG00000063562	ENSRNOT00000109762			
ENSRNOG00000050129	ENSRNOT00000075346	ENSRNOP00000067473	AABR07000137.1	
ENSRNOG00000056886	ENSRNOT00000092137		Mir291b	100526632
ENSRNOG00000029996	ENSRNOT00000036217	ENSRNOP00000038718	AABR07054368.1	
ENSRNOG00000032625	ENSRNOT00000026088	ENSRNOP00000026088	AC118165.1	102548503
ENSRNOG00000032625	ENSRNOT00000099999	ENSRNOP00000090073	AC118165.1	102548503
ENSRNOG00000032625	ENSRNOT00000094997	ENSRNOP00000091760	AC118165.1	102548503
ENSRNOG00000029315	ENSRNOT00000050814	ENSRNOP00000071208	AC099294.1	690251
ENSRNOG00000016356	ENSRNOT00000119131	ENSRNOP00000080441	Got1	24401
ENSRNOG00000016356	ENSRNOT00000022309	ENSRNOP00000022309	Got1	24401
ENSRNOG00000028288	ENSRNOT00000031397	ENSRNOP00000035233	Clrn3	309082
ENSRNOG00000062643	ENSRNOT00000096567	ENSRNOP00000081307	Olr760	405957
ENSRNOG00000062643	ENSRNOT00000101154	ENSRNOP00000092018	Olr760	405957
ENSRNOG00000015810	ENSRNOT00000081471	ENSRNOP00000070709	Trip13	292206
ENSRNOG00000015810	ENSRNOT00000021532	ENSRNOP00000021532	Trip13	292206
ENSRNOG00000015810	ENSRNOT00000112286	ENSRNOP00000076549	Trip13	292206
ENSRNOG00000013596	ENSRNOT00000119157	ENSRNOP00000078449	Dimt1	294718
ENSRNOG00000013596	ENSRNOT00000018527	ENSRNOP00000018527	Dimt1	294718
ENSRNOG00000022863	ENSRNOT00000036656	ENSRNOP00000038501	Lingo4	499668
ENSRNOG00000017538	ENSRNOT00000023610	ENSRNOP00000023610	Lrrc27	499281
ENSRNOG00000017538	ENSRNOT00000049631	ENSRNOP00000048246	Lrrc27	499281
ENSRNOG00000009377	ENSRNOT00000012978	ENSRNOP00000012978	Nelfb	311796
ENSRNOG00000069093	ENSRNOT00000111505	ENSRNOP00000089352		
ENSRNOG00000010349	ENSRNOT00000014103	ENSRNOP00000014103	Ghrl	59301
ENSRNOG00000010349	ENSRNOT00000110276	ENSRNOP00000089522	Ghrl	59301
ENSRNOG00000027204	ENSRNOT00000034389	ENSRNOP00000032018	Map6	29457
ENSRNOG00000027204	ENSRNOT00000118262	ENSRNOP00000090757	Map6	29457
ENSRNOG00000058651	ENSRNOT00000091774		AABR07004871.1	
ENSRNOG00000070886	ENSRNOT00000094005			
ENSRNOG00000056005	ENSRNOT00000084100		U7	120100212
ENSRNOG00000069847	ENSRNOT00000098672			
ENSRNOG00000035453	ENSRNOT00000053576		Mir3596c	100526599
ENSRNOG00000063396	ENSRNOT00000113057		SNORD115	120100238
ENSRNOG00000062736	ENSRNOT00000115120			
ENSRNOG00000062736	ENSRNOT00000111127			
ENSRNOG00000015499	ENSRNOT00000064982	ENSRNOP00000060187	Serinc4	311358
ENSRNOG00000015499	ENSRNOT00000021008	ENSRNOP00000021008	Serinc4	311358
ENSRNOG00000015499	ENSRNOT00000089433	ENSRNOP00000072425	Serinc4	311358
ENSRNOG00000065199	ENSRNOT00000091106	ENSRNOP00000075538	Hoxa10	100911668
ENSRNOG00000065199	ENSRNOT00000036394	ENSRNOP00000037877	Hoxa10	100911668
ENSRNOG00000065199	ENSRNOT00000081824	ENSRNOP00000072342	Hoxa10	100911668
ENSRNOG00000068709	ENSRNOT00000095853			
ENSRNOG00000069410	ENSRNOT00000049686	ENSRNOP00000039905	Olr218	365340
ENSRNOG00000014903	ENSRNOT00000040740	ENSRNOP00000051399	Zfyve27	309376
ENSRNOG00000014903	ENSRNOT00000083287	ENSRNOP00000074613	Zfyve27	309376
ENSRNOG00000014903	ENSRNOT00000114879	ENSRNOP00000093987	Zfyve27	309376
ENSRNOG00000014903	ENSRNOT00000107917	ENSRNOP00000094645	Zfyve27	309376
ENSRNOG00000055477	ENSRNOT00000091269		U1	120100189
ENSRNOG00000066157	ENSRNOT00000116218			
ENSRNOG00000066157	ENSRNOT00000110601			
ENSRNOG00000069518	ENSRNOT00000097599			
ENSRNOG00000069518	ENSRNOT00000108709			
ENSRNOG00000059537	ENSRNOT00000078018		U4	
ENSRNOG00000070280	ENSRNOT00000104733			
ENSRNOG00000064304	ENSRNOT00000088190	ENSRNOP00000071440	Olr361	365413
ENSRNOG00000035530	ENSRNOT00000053653		Mir192	100314193
ENSRNOG00000021051	ENSRNOT00000028588	ENSRNOP00000028588	Cyth2	116692
ENSRNOG00000021051	ENSRNOT00000100389	ENSRNOP00000097083	Cyth2	116692
ENSRNOG00000021051	ENSRNOT00000115939	ENSRNOP00000087507	Cyth2	116692
ENSRNOG00000069804	ENSRNOT00000093965		SNORD116	120100325
ENSRNOG00000055569	ENSRNOT00000079066		SNORD15	120100225
ENSRNOG00000011160	ENSRNOT00000015084	ENSRNOP00000083518	Sv2b	117556
ENSRNOG00000063599	ENSRNOT00000094322			
ENSRNOG00000017748	ENSRNOT00000054887	ENSRNOP00000051771	Nkx6-2	309095
ENSRNOG00000067237	ENSRNOT00000110396			
ENSRNOG00000065307	ENSRNOT00000118402			
ENSRNOG00000062707	ENSRNOT00000118050			
ENSRNOG00000016227	ENSRNOT00000022406	ENSRNOP00000022406	Glrx3	58815
ENSRNOG00000016227	ENSRNOT00000107315	ENSRNOP00000079546	Glrx3	58815
ENSRNOG00000016227	ENSRNOT00000083316	ENSRNOP00000073509	Glrx3	58815
ENSRNOG00000016227	ENSRNOT00000109827	ENSRNOP00000091412	Glrx3	58815
ENSRNOG00000070826	ENSRNOT00000104274		U6	120100133
ENSRNOG00000013395	ENSRNOT00000018233	ENSRNOP00000018233	Pglyrp1	84387
ENSRNOG00000004753	ENSRNOT00000006329	ENSRNOP00000006329	Napb	499903
ENSRNOG00000004753	ENSRNOT00000100069	ENSRNOP00000083784	Napb	499903
ENSRNOG00000016906	ENSRNOT00000022879	ENSRNOP00000022879	Lipt2	365314
