Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name	RefSeq peptide ID
ENSRNOG00000064641	ENSRNOT00000105380	ENSRNOP00000085786						
ENSRNOG00000032625	ENSRNOT00000026088	ENSRNOP00000026088	102548503		D4ADN7	AC118165.1		
ENSRNOG00000070168	ENSRNOT00000087667	ENSRNOP00000069187	293205		A0A0G2JUQ7	Olr56	NP_001000130	
ENSRNOG00000033395	ENSRNOT00000044979	ENSRNOP00000041116	295744		D3ZQI2	Olr473	NP_001000302	
ENSRNOG00000029315	ENSRNOT00000050814	ENSRNOP00000071208	690251		A0A0G2JZW2	AC099294.1		
ENSRNOG00000029996	ENSRNOT00000036217	ENSRNOP00000038718			F1M6C2	AABR07054368.1		
ENSRNOG00000062643	ENSRNOT00000096567	ENSRNOP00000081307	405957		D4A4I6	Olr760	NP_001001069	
ENSRNOG00000028288	ENSRNOT00000031397	ENSRNOP00000035233	309082	Q6AYR5		Clrn3	NP_001014048	
ENSRNOG00000050129	ENSRNOT00000075346	ENSRNOP00000067473			M0RCY4	AABR07000137.1		
ENSRNOG00000018029	ENSRNOT00000024353	ENSRNOP00000024353	293654		Q5XIA7	Doc2g	NP_001011937	
ENSRNOG00000062643	ENSRNOT00000101154	ENSRNOP00000092018	405957		D4A4I6	Olr760	NP_001001069	
ENSRNOG00000066660	ENSRNOT00000094775	ENSRNOP00000080865						
ENSRNOG00000032625	ENSRNOT00000099999	ENSRNOP00000090073	102548503			AC118165.1		
ENSRNOG00000016356	ENSRNOT00000119131	ENSRNOP00000080441	24401			Got1		
ENSRNOG00000070901	ENSRNOT00000119508	ENSRNOP00000082584	292708			Irgq	NP_001129214	
ENSRNOG00000069093	ENSRNOT00000111505	ENSRNOP00000089352			Q6QI10			
ENSRNOG00000031391	ENSRNOT00000045306	ENSRNOP00000041331	292700		A0A0A0MY19	Ceacam16	NP_001163050	
ENSRNOG00000009377	ENSRNOT00000012978	ENSRNOP00000012978	311796		D4ACV0	Nelfb	NP_001101287	
ENSRNOG00000015810	ENSRNOT00000081471	ENSRNOP00000070709	292206	Q5XHZ9		Trip13	NP_001011930	
ENSRNOG00000066169	ENSRNOT00000101581	ENSRNOP00000083062						
ENSRNOG00000027204	ENSRNOT00000034389	ENSRNOP00000032018	29457		F1LQZ9	Map6		
ENSRNOG00000022863	ENSRNOT00000036656	ENSRNOP00000038501	499668		D4A2G1	Lingo4	NP_001102659	
ENSRNOG00000032625	ENSRNOT00000094997	ENSRNOP00000091760	102548503			AC118165.1		
ENSRNOG00000017538	ENSRNOT00000023610	ENSRNOP00000023610	499281		B0BN00	Lrrc27	NP_001107261	
ENSRNOG00000015810	ENSRNOT00000021532	ENSRNOP00000021532	292206	Q5XHZ9		Trip13	NP_001011930	
ENSRNOG00000010349	ENSRNOT00000014103	ENSRNOP00000014103	59301	Q9QYH7		Ghrl		
ENSRNOG00000016356	ENSRNOT00000022309	ENSRNOP00000022309	24401	P13221		Got1		
ENSRNOG00000069410	ENSRNOT00000049686	ENSRNOP00000039905	365340		D3ZEN9	Olr218	NP_001000551	
ENSRNOG00000065199	ENSRNOT00000091106	ENSRNOP00000075538	100911668		A0A0G2JWY7	Hoxa10		
ENSRNOG00000027204	ENSRNOT00000118262	ENSRNOP00000090757	29457			Map6		
ENSRNOG00000065199	ENSRNOT00000036394	ENSRNOP00000037877	100911668		D3ZHM5	Hoxa10		
