Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	RefSeq peptide ID
ENSRNOG00000064641	ENSRNOT00000105380	ENSRNOP00000085786				
ENSRNOG00000032625	ENSRNOT00000026088	ENSRNOP00000026088	AC118165.1		D4ADN7	
ENSRNOG00000070168	ENSRNOT00000087667	ENSRNOP00000069187	Olr56		A0A0G2JUQ7	NP_001000130
ENSRNOG00000033395	ENSRNOT00000044979	ENSRNOP00000041116	Olr473		D3ZQI2	NP_001000302
ENSRNOG00000029315	ENSRNOT00000050814	ENSRNOP00000071208	AC099294.1		A0A0G2JZW2	
ENSRNOG00000029996	ENSRNOT00000036217	ENSRNOP00000038718	AABR07054368.1		F1M6C2	
ENSRNOG00000062643	ENSRNOT00000096567	ENSRNOP00000081307	Olr760		D4A4I6	
ENSRNOG00000028288	ENSRNOT00000031397	ENSRNOP00000035233	Clrn3	Q6AYR5		NP_001014048
ENSRNOG00000050129	ENSRNOT00000075346	ENSRNOP00000067473	AABR07000137.1		M0RCY4	
ENSRNOG00000018029	ENSRNOT00000024353	ENSRNOP00000024353	Doc2g		Q5XIA7	NP_001011937
ENSRNOG00000062643	ENSRNOT00000101154	ENSRNOP00000092018	Olr760		D4A4I6	NP_001001069
ENSRNOG00000066660	ENSRNOT00000094775	ENSRNOP00000080865				
ENSRNOG00000032625	ENSRNOT00000099999	ENSRNOP00000090073	AC118165.1			
ENSRNOG00000016356	ENSRNOT00000119131	ENSRNOP00000080441	Got1			NP_036703
ENSRNOG00000070901	ENSRNOT00000119508	ENSRNOP00000082584	Irgq			NP_001129214
ENSRNOG00000069093	ENSRNOT00000111505	ENSRNOP00000089352			Q6QI10	
ENSRNOG00000031391	ENSRNOT00000045306	ENSRNOP00000041331	Ceacam16		A0A0A0MY19	NP_001163050
ENSRNOG00000009377	ENSRNOT00000012978	ENSRNOP00000012978	Nelfb		D4ACV0	NP_001101287
ENSRNOG00000015810	ENSRNOT00000081471	ENSRNOP00000070709	Trip13	Q5XHZ9		
ENSRNOG00000066169	ENSRNOT00000101581	ENSRNOP00000083062				
ENSRNOG00000027204	ENSRNOT00000034389	ENSRNOP00000032018	Map6		F1LQZ9	NP_058900
ENSRNOG00000022863	ENSRNOT00000036656	ENSRNOP00000038501	Lingo4		D4A2G1	NP_001102659
ENSRNOG00000032625	ENSRNOT00000094997	ENSRNOP00000091760	AC118165.1			
ENSRNOG00000017538	ENSRNOT00000023610	ENSRNOP00000023610	Lrrc27		B0BN00	NP_001137228
ENSRNOG00000015810	ENSRNOT00000021532	ENSRNOP00000021532	Trip13	Q5XHZ9		NP_001011930
ENSRNOG00000010349	ENSRNOT00000014103	ENSRNOP00000014103	Ghrl	Q9QYH7		NP_067701
ENSRNOG00000016356	ENSRNOT00000022309	ENSRNOP00000022309	Got1	P13221		
ENSRNOG00000069410	ENSRNOT00000049686	ENSRNOP00000039905	Olr218		D3ZEN9	NP_001000551
ENSRNOG00000065199	ENSRNOT00000091106	ENSRNOP00000075538	Hoxa10		A0A0G2JWY7	
ENSRNOG00000027204	ENSRNOT00000118262	ENSRNOP00000090757	Map6			
ENSRNOG00000065199	ENSRNOT00000036394	ENSRNOP00000037877	Hoxa10		D3ZHM5	
ENSRNOG00000015810	ENSRNOT00000112286	ENSRNOP00000076549	Trip13			
ENSRNOG00000013596	ENSRNOT00000119157	ENSRNOP00000078449	Dimt1			NP_001099878
ENSRNOG00000010349	ENSRNOT00000110276	ENSRNOP00000089522	Ghrl			
ENSRNOG00000064304	ENSRNOT00000088190	ENSRNOP00000071440	Olr361		A0A0G2K0G8	NP_001000556
ENSRNOG00000065199	ENSRNOT00000081824	ENSRNOP00000072342	Hoxa10		A0A0G2K2R3	
ENSRNOG00000017538	ENSRNOT00000049631	ENSRNOP00000048246	Lrrc27		D3ZDV5	NP_001107261
ENSRNOG00000014903	ENSRNOT00000040740	ENSRNOP00000051399	Zfyve27		A0A140TAG8	
ENSRNOG00000017748	ENSRNOT00000054887	ENSRNOP00000051771	Nkx6-2		D3ZZX2	NP_001101028
ENSRNOG00000013596	ENSRNOT00000018527	ENSRNOP00000018527	Dimt1		G3V7R8	
ENSRNOG00000015499	ENSRNOT00000064982	ENSRNOP00000060187	Serinc4		D3ZI47	NP_001104281
ENSRNOG00000011160	ENSRNOT00000015084	ENSRNOP00000083518	Sv2b			NP_476555
ENSRNOG00000014903	ENSRNOT00000083287	ENSRNOP00000074613	Zfyve27	Q6P7B7		NP_954535
ENSRNOG00000016227	ENSRNOT00000022406	ENSRNOP00000022406	Glrx3	Q9JLZ1		NP_116003
ENSRNOG00000015499	ENSRNOT00000021008	ENSRNOP00000021008	Serinc4	A8WCG0		
