Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	RefSeq peptide ID
WBGene00000001	Y110A7A.10.1	Y110A7A.10.1	aap-1		G5EDP9	NP_491522
WBGene00000002	F27C8.1.1	F27C8.1.1	aat-1		Q19834	NP_501707
WBGene00000003	F07C3.7.1	F07C3.7.1	aat-2		Q19151	NP_505394
WBGene00000004	F52H2.2a.1	F52H2.2a.1	aat-3		O17395	NP_508461
WBGene00000004	F52H2.2b.1	F52H2.2b.1	aat-3		A0A0K3AVL7	NP_001300351
WBGene00000005	T13A10.10a.1	T13A10.10a.1	aat-4		Q7YXH5	NP_001023382
WBGene00000006	C55C2.5a.1	C55C2.5a.1	aat-5		H2KZG9	NP_491002
WBGene00000007	T11F9.4a.1	T11F9.4a.1	aat-6	Q22397		NP_505905
WBGene00000007	T11F9.4b.1	T11F9.4b.1	aat-6	Q22397		NP_001123014
WBGene00000008	F54D12.3.1	F54D12.3.1	aat-7		O44832	NP_493960
WBGene00000009	F28F9.4.1	F28F9.4.1	aat-8		Q94197	NP_500425
WBGene00000010	Y53H1C.1a.1	Y53H1C.1a.1	aat-9		Q9NA91	NP_001021788
WBGene00000010	Y53H1C.1b.1	Y53H1C.1b.1	aat-9		Q56VY0	NP_001021789
WBGene00000012	C50F2.9.1	C50F2.9.1	abf-1	G5EGC4		NP_491253
WBGene00000013	C50F2.10.1	C50F2.10.1	abf-2	G5EC68		NP_491252
WBGene00000014	F54B8.5.1	F54B8.5.1	abf-3		O45563	NP_506950
WBGene00000015	Y38H6C.22.1	Y38H6C.22.1	abf-4		Q9XX40	NP_507965
WBGene00000016	T22H6.5.1	T22H6.5.1	abf-5		G5EFQ2	NP_510136
WBGene00000017	T22H6.7.1	T22H6.7.1	abf-6		G5EBS3	NP_741914
WBGene00000018	M79.1a.1	M79.1a.1	abl-1	P03949		NP_509778
WBGene00000018	M79.1b.1	M79.1b.1	abl-1	P03949		NP_509777
WBGene00000018	M79.1c.1	M79.1c.1	abl-1	P03949		NP_509779
WBGene00000018	M79.1d.1	M79.1d.1	abl-1		A0A5E4LZL8	NP_001368775
WBGene00000018	M79.1e.1	M79.1e.1	abl-1		A0A5E4LZH0	NP_001368776
WBGene00000019	C24F3.5a.1	C24F3.5a.1	abt-1		S6EZS3	NP_001293854
WBGene00000019	C24F3.5b.1	C24F3.5b.1	abt-1		S6FN28	NP_001293855
WBGene00000020	F12B6.1a.1	F12B6.1a.1	abt-2		Q1RS86	NP_490949
WBGene00000020	F12B6.1b.1	F12B6.1b.1	abt-2		X5LXB2	NP_001368466
WBGene00000022	Y39D8C.1.1	Y39D8C.1.1	abt-4		Q9TXV8	NP_503175
WBGene00000023	Y53C10A.9.1	Y53C10A.9.1	abt-5		Q9XW49	NP_001364572
WBGene00000024	AC3.3.1	AC3.3.1	abu-1		Q17400	NP_505667
WBGene00000025	F19G12.7.1	F19G12.7.1	abu-2		Q19594	NP_508265
WBGene00000027	Y5H2A.3.1	Y5H2A.3.1	abu-4		Q86S74	NP_872210
WBGene00000028	Y105C5A.4.1	Y105C5A.4.1	abu-5		Q9NF70	NP_502873
WBGene00000029	C03A7.7.1	C03A7.7.1	abu-6		O16501	NP_504383
WBGene00000030	C03A7.8.1	C03A7.8.1	abu-7		O16502	NP_504384
WBGene00000031	C03A7.14.1	C03A7.14.1	abu-8		O16511	NP_504393
WBGene00000032	R09F10.2.1	R09F10.2.1	abu-9		G5EGB7	NP_509407
WBGene00000033	F35A5.3.1	F35A5.3.1	abu-10		Q20002	NP_508659
WBGene00000034	T01D1.6.1	T01D1.6.1	abu-11		P91419	NP_493679
WBGene00000035	W09B12.1.1	W09B12.1.1	ace-1	P38433		NP_510660
WBGene00000036	Y44E3A.2.1	Y44E3A.2.1	ace-2		G5EDV9	NP_491141
WBGene00000036	Y44E3A.2.2	Y44E3A.2.2	ace-2		G5EDV9	NP_491141
WBGene00000037	Y48B6A.8.1	Y48B6A.8.1	ace-3		Q9U295	NP_496963
WBGene00000038	Y48B6A.7.1	Y48B6A.7.1	ace-4		G5EDN1	NP_496962
WBGene00000039	C42D8.5.1	C42D8.5.1	acn-1	Q18581		NP_001024453
WBGene00000040	ZK455.1.1	ZK455.1.1	aco-1	Q23500		NP_509898
WBGene00000041	F54H12.1a.1	F54H12.1a.1	aco-2	P34455		NP_741235
WBGene00000041	F54H12.1c.1	F54H12.1c.1	aco-2	P34455		NP_498738
WBGene00000041	F54H12.1c.2	F54H12.1c.2	aco-2	P34455		NP_498738
WBGene00000041	F54H12.1c.3	F54H12.1c.3	aco-2	P34455		NP_498738
WBGene00000042	K11G12.2.1	K11G12.2.1	acr-2	P48182		NP_509128
WBGene00000043	K11G12.7.1	K11G12.7.1	acr-3	Q93149		NP_509129
WBGene00000044	K03F8.2.1	K03F8.2.1	acr-5	P54246		NP_001367477
WBGene00000045	ZK973.5.1	ZK973.5.1	acr-6		Q9N4M3	NP_491354
WBGene00000046	T09A5.3.1	T09A5.3.1	acr-7	P45963		NP_495647
