Gene stable ID	RefSeq peptide ID
YPL071C	NP_015254.1
YLL050C	NP_013050.1
YMR172W	NP_013895.1
YOR185C	NP_014828.1
YLL032C	NP_013068.1
YBR225W	NP_009784.1
YEL041W	NP_010873.1
YOR237W	NP_014880.3
YMR027W	NP_013740.1
YBR182C-A	NP_878050.1
YKL103C	NP_012819.1
YOL048C	NP_014594.2
YIR015W	NP_012280.1
YNR017W	NP_014414.3
YBL055C	NP_009498.1
YML089C	
YOL144W	NP_014497.1
YDL246C	NP_010035.1
YDL243C	NP_010038.1
YDR387C	NP_010675.3
YMR290C	NP_014017.1
YOR082C	
YCR031C	NP_009960.2
YBR293W	NP_009852.3
YJL160C	NP_012375.2
YBR223W-A	
YMR139W	NP_013859.1
YNL105W	
YDL094C	
YDR438W	NP_010726.3
YDR523C	NP_010811.1
YDR542W	NP_010831.3
YIL156W-A	
YLR466W	NP_013571.3
YPL208W	NP_015116.1
YLR054C	NP_013155.2
YER011W	NP_010927.1
YLR437C	NP_013541.3
YPL102C	
YNR069C	NP_014467.3
YDR492W	NP_010780.1
YIL115W-A	
YMR191W	NP_013916.2
YIL086C	
YOL072W	NP_014569.1
YOR114W	NP_014757.1
YIL156W-B	NP_001027534.1
YHR094C	NP_011962.1
YOL085C	
YFL031C-A	
YHL031C	NP_011832.1
YOR385W	NP_015030.3
YGL087C	NP_011428.1
YMR244C-A	NP_013972.1
YNL306W	NP_014093.1
YOR214C	NP_014857.3
YAL037W	NP_009363.1
YLR217W	
YLL056C	NP_013044.1
YOL119C	NP_014522.1
YJL204C	NP_012331.1
YAL016W	NP_009386.1
YIL146C	NP_012120.1
YCL011C	NP_009916.1
YLR128W	NP_013229.1
YKL131W	
YDR018C	NP_010301.1
YOR019W	NP_014662.1
YNL288W	NP_014111.1
YCL040W	NP_009890.1
YER158W-A	
YNL191W	NP_014208.1
YBR115C	NP_009673.1
YGL156W	NP_011359.1
YNL150W	
YCR052W	NP_009981.1
YGL015C	NP_011500.3
YOR206W	NP_014849.3
YMR091C	NP_013809.1
YMR173W-A	
YJR105W	NP_012639.1
YHL002W	NP_011861.1
YCR100C	NP_010024.1
YOR345C	
YPL217C	NP_015107.1
YOR341W	NP_014986.3
YDL189W	NP_010092.2
YLR279W	
YHR219C-A	
YER056C-A	NP_010977.2
YMR180C	NP_013905.1
YNL097C	NP_014302.3
YDR508C	NP_010796.1
YHR045W	NP_011911.1
YML020W	NP_013692.1
YGR251W	NP_011767.3
YPL197C	
YBR031W	NP_009587.1
YDR462W	NP_010750.1
YPR139C	NP_015465.1
YPR169W	NP_015495.2
YPL257W	NP_015066.1
YOL088C	NP_014553.1
YLR075W	NP_013176.1
YML088W	NP_013622.1
YIL010W	NP_012255.3
YBL108C-A	
YDR175C	NP_010460.1
YLR052W	NP_013153.1
YKR004C	NP_012929.4
YNL137C	NP_014262.3
YNL331C	NP_014068.1
YFL026W	NP_116627.2
YBR116C	
YJR129C	NP_012663.2
YKR092C	NP_013018.3
YDR186C	NP_010472.3
YML077W	NP_013634.1
YEL067C	NP_010847.1
YJL139C	NP_012396.1
YKL002W	NP_012924.2
YGR162W	NP_011678.3
YLR159C-A	NP_878123.1
YLR159C-A	NP_878127.1
YLR159C-A	NP_878126.1
YLR159C-A	NP_878122.1
YDR150W	NP_010434.1
YEL054C	NP_010860.1
YEL054C	NP_010706.3
YOR392W	
YPL009C	NP_015316.1
YLR025W	NP_013125.1
YDR243C	NP_010529.3
YGR005C	NP_011519.3
YOR160W	NP_014803.1
YLR049C	NP_013150.1
YLR308W	NP_013411.1
YOR084W	NP_014727.1
YNL030W	NP_009563.1
YNL030W	NP_014368.1
YHR084W	NP_011952.1
YLR032W	NP_013132.1
YOR039W	NP_014682.1
YBR241C	NP_009800.1
YEL047C	NP_010867.3
YML125C	NP_013581.1
YOR264W	NP_014907.3
YPL183C	NP_015142.1
YNL297C	NP_014102.1
YPR065W	NP_015390.1
YNL102W	NP_014297.3
YPR099C	
YCR107W	NP_010032.1
YMR318C	NP_014051.3
YPR032W	NP_015357.1
YOR281C	NP_014924.3
YMR115W	NP_013833.1
YFR027W	NP_116683.1
YMR266W	NP_013993.1
YDL182W	NP_010099.1
YER146W	NP_011073.1
YLR251W	NP_013352.1
YBR182C	NP_009741.3
YDR362C	NP_010649.1
YNR026C	NP_014423.1
YBR134W	
YHR126C	NP_011994.1
YPR194C	NP_015520.1
YGL160W	NP_011355.1
YAL003W	NP_009398.1
YPL084W	NP_015241.1
YNL152W	NP_014247.1
YCL002C	NP_009924.4
YIL117C	NP_012149.1
YBL037W	NP_009516.1
YNL140C	NP_001257689.1
YDR232W	NP_010518.1
