Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	RefSeq peptide ID
ENSDARG00000042370	ENSDART00000154829	ENSDARP00000128308	ptafr		E7EZR6	
ENSDARG00000042370	ENSDART00000062130	ENSDARP00000062129	ptafr		E7EZR6	
ENSDARG00000097746	ENSDART00000155479	ENSDARP00000129247	si:rp71-77l1.1		X1WG92	
ENSDARG00000078991	ENSDART00000108694	ENSDARP00000098162	si:ch211-195e19.1		E7EZI9	
ENSDARG00000102845	ENSDART00000169521	ENSDARP00000138408	dclk2b		F8W445	
ENSDARG00000096908	ENSDART00000155827	ENSDARP00000128409	si:ch73-185c24.2		X1WDW0	NP_001313511
ENSDARG00000101567	ENSDART00000162388	ENSDARP00000135694	guca1e		A0A0R4IPJ4	
ENSDARG00000093957	ENSDART00000147009	ENSDARP00000122083	si:dkey-251i10.2		A2CEY7	NP_001313480
ENSDARG00000093686	ENSDART00000163370	ENSDARP00000132086	si:rp71-36a1.2		A0A0R4IDF5	
ENSDARG00000090836	ENSDART00000149108	ENSDARP00000124764	si:ch211-191d2.2		F8W2D9	
ENSDARG00000097503	ENSDART00000154123	ENSDARP00000129422	si:ch73-288o11.5		X1WBE9	
ENSDARG00000093686	ENSDART00000189331	ENSDARP00000154342	si:rp71-36a1.2		A0A2R8QJI8	
ENSDARG00000090836	ENSDART00000192145	ENSDARP00000155040	si:ch211-191d2.2		A0A2R8QL33	
ENSDARG00000102845	ENSDART00000181582	ENSDARP00000147245	dclk2b		A0A2R8Q0Q7	
ENSDARG00000101567	ENSDART00000170119	ENSDARP00000136404	guca1e		A0A0R4IPX8	NP_956950
ENSDARG00000101917	ENSDART00000169763	ENSDARP00000139278	pmfbp1		A0A0R4IRQ5	
ENSDARG00000097503	ENSDART00000156878	ENSDARP00000127540	si:ch73-288o11.5		X1WBE9	
ENSDARG00000101700	ENSDART00000168251	ENSDARP00000137708	si:ch1073-181h11.1		A0A0J9YJF6	
ENSDARG00000063150	ENSDART00000091955	ENSDARP00000086388	nrxn2b		A1XQX7	
ENSDARG00000068100	ENSDART00000133348	ENSDARP00000118244	tafa5l		A3KPR2	
ENSDARG00000058593	ENSDART00000081477	ENSDARP00000075918	sri		F1R4I7	NP_956667
ENSDARG00000063150	ENSDART00000173716	ENSDARP00000142948	nrxn2b		A0A1D5NSX7	
ENSDARG00000089622	ENSDART00000156142	ENSDARP00000128873	fgd5b		E7F843	
ENSDARG00000057536	ENSDART00000128486	ENSDARP00000109464	crygm2a		Q4ZHG3	NP_001018131
ENSDARG00000079187	ENSDART00000150167	ENSDARP00000125037	tbx19		F8W5N0	
ENSDARG00000063150	ENSDART00000190811	ENSDARP00000151731	nrxn2b		A0A2R8QFI2	
ENSDARG00000088699	ENSDART00000122108	ENSDARP00000108510	pdzd8		E7F7C3	
ENSDARG00000086623	ENSDART00000136763	ENSDARP00000120713	vav3a		F1QL28	
ENSDARG00000089794	ENSDART00000147715	ENSDARP00000117004	si:dkeyp-101e12.1		F1QRC2	
ENSDARG00000079187	ENSDART00000115394	ENSDARP00000103376	tbx19		F1Q7B7	
ENSDARG00000054162	ENSDART00000154124	ENSDARP00000128317	nfatc4		X1WDL8	
ENSDARG00000027088	ENSDART00000039267	ENSDARP00000037484	ptgdsb.1		Q8QGV5	NP_998799
ENSDARG00000014806	ENSDART00000133998	ENSDARP00000119275	hacd2		B0V199	NP_956155
ENSDARG00000013203	ENSDART00000152597	ENSDARP00000126589	si:ch211-1f22.1		E7EYX3	
ENSDARG00000093469	ENSDART00000146728	ENSDARP00000114536	znf653		F1QEB0	
ENSDARG00000095756	ENSDART00000146325	ENSDARP00000120464	si:ch211-190k17.19		B0S5N9	
ENSDARG00000093469	ENSDART00000171731	ENSDARP00000140930	znf653		A0A0R4IZ57	
ENSDARG00000014806	ENSDART00000134574	ENSDARP00000112613	hacd2		B0V198	
ENSDARG00000012892	ENSDART00000013814	ENSDARP00000006365	ammecr1		Q6NWA1	NP_956875
ENSDARG00000093469	ENSDART00000182840	ENSDARP00000146899	znf653		A0A2R8Q002	
ENSDARG00000012016	ENSDART00000018533	ENSDARP00000015036	hpgd		E7F258	NP_001313470
ENSDARG00000077368	ENSDART00000144819	ENSDARP00000119087	slc30a6		F1R6U1	
ENSDARG00000014806	ENSDART00000141998	ENSDARP00000122534	hacd2		F1QWS6	
ENSDARG00000054162	ENSDART00000110781	ENSDARP00000104333	nfatc4		E7F059	
ENSDARG00000007671	ENSDART00000135940	ENSDARP00000114485	ghrb		A8WH88	NP_001104551
ENSDARG00000063341	ENSDART00000092479	ENSDARP00000086911	czib		B3DJJ8	NP_001122157
ENSDARG00000043673	ENSDART00000142337	ENSDARP00000117634	si:dkey-174m14.3		Q5TYR3	NP_001038475
ENSDARG00000077717	ENSDART00000173029	ENSDARP00000142056	rpl29		Q6DGL4	
ENSDARG00000028259	ENSDART00000141746	ENSDARP00000120054	aldh3a2a		E9QFF0	
ENSDARG00000044875	ENSDART00000136014	ENSDARP00000113237	crygm2e		F1R061	
ENSDARG00000007671	ENSDART00000163003	ENSDARP00000138552	ghrb		A8WH88	
ENSDARG00000024116	ENSDART00000031727	ENSDARP00000032940	vamp8		Q7ZUC1	NP_956053
ENSDARG00000044875	ENSDART00000065956	ENSDARP00000065955	crygm2e		F1QGU7	
ENSDARG00000077368	ENSDART00000193627	ENSDARP00000150886	slc30a6		A0A2R8QBN5	NP_991214
ENSDARG00000008788	ENSDART00000017902	ENSDARP00000011264	camk1gb		F1QB46	NP_957123
ENSDARG00000028259	ENSDART00000133948	ENSDARP00000117407	aldh3a2a		E9QE27	
ENSDARG00000022045	ENSDART00000154778	ENSDARP00000128209	map1ab		X1WDB0	
ENSDARG00000078271	ENSDART00000148606	ENSDARP00000124749	si:ch211-57m13.8		F8W2F4	
ENSDARG00000079632	ENSDART00000139036	ENSDARP00000119350	si:dkey-28b4.7		F1R563	NP_001243129
ENSDARG00000044956	ENSDART00000134938	ENSDARP00000116179	zgc:114123		F1R4T4	
ENSDARG00000013174	ENSDART00000151004	ENSDARP00000126300	nkd3		I3ITM9	NP_001182544
ENSDARG00000077717	ENSDART00000111140	ENSDARP00000099277	rpl29		Q6DGL4	NP_001003434
ENSDARG00000077717	ENSDART00000111140	ENSDARP00000099277	rpl29		Q6DGL4	NP_001230107
ENSDARG00000096666	ENSDART00000152294	ENSDARP00000126851	si:ch211-1f22.2		R4GED8	
ENSDARG00000027602	ENSDART00000099023	ENSDARP00000089796	lrfn1		E7EZ70	
ENSDARG00000011743	ENSDART00000135044	ENSDARP00000118783	pigo		E9QI13	
ENSDARG00000027602	ENSDART00000124704	ENSDARP00000111665	lrfn1		E7EZ70	NP_956909
ENSDARG00000077717	ENSDART00000172953	ENSDARP00000142323	rpl29		Q6DGL4	
ENSDARG00000103484	ENSDART00000166640	ENSDARP00000136992	pkdc		A0A0R4IMI8	
ENSDARG00000028259	ENSDART00000031625	ENSDARP00000037108	aldh3a2a		Q90ZZ8	NP_997814
ENSDARG00000056498	ENSDART00000147783	ENSDARP00000113177	crp2		A3KPH8	
ENSDARG00000039365	ENSDART00000131609	ENSDARP00000123298	cuedc2		B8JIL6	
ENSDARG00000028259	ENSDART00000192324	ENSDARP00000148724	aldh3a2a		Q90ZZ8	
ENSDARG00000057460	ENSDART00000101928	ENSDARP00000092703	crygm2d13		Q6DH12	NP_001002408
ENSDARG00000041203	ENSDART00000060399	ENSDARP00000060398	drap1		F1R8S0	NP_991104
ENSDARG00000056498	ENSDART00000079003	ENSDARP00000073460	crp2		A3KPH8	
ENSDARG00000039365	ENSDART00000135265	ENSDARP00000116061	cuedc2		B8JIL7	
ENSDARG00000036510	ENSDART00000053045	ENSDARP00000053044	ccnt2b		Q802D2	NP_997751
ENSDARG00000021899	ENSDART00000037999	ENSDARP00000030294	b4galt7		A5PMC8	NP_001003417
ENSDARG00000009885	ENSDART00000132083	ENSDARP00000122253	sult3st1		F1QPA8	
ENSDARG00000098937	ENSDART00000168964	ENSDARP00000137506	si:ch73-315f9.2		A0A0R4IQ79	
ENSDARG00000101083	ENSDART00000170387	ENSDARP00000132374	olfcg2		A0A0R4IDZ4	NP_001103759
ENSDARG00000011196	ENSDART00000016096	ENSDARP00000026754	dnajc11a		F1QWW6	NP_997796
ENSDARG00000022045	ENSDART00000155335	ENSDARP00000127734	map1ab		X1WBZ2	
ENSDARG00000028259	ENSDART00000191464	ENSDARP00000145212	aldh3a2a		A0A2R8PW97	
ENSDARG00000095730	ENSDART00000137056	ENSDARP00000117130	si:ch211-234p6.9		A3KPH7	
ENSDARG00000013251	ENSDART00000009912	ENSDARP00000025988	hsf4		Q5CZP2	
ENSDARG00000022045	ENSDART00000188706	ENSDARP00000154882	map1ab		A0A2R8QI85	
ENSDARG00000022045	ENSDART00000182622	ENSDARP00000152317	map1ab		A0A2R8QJ64	
ENSDARG00000028259	ENSDART00000182369	ENSDARP00000152087	aldh3a2a		Q90ZZ8	
ENSDARG00000021899	ENSDART00000170614	ENSDARP00000131716	b4galt7		A0A0R4IEK0	
ENSDARG00000101083	ENSDART00000161553	ENSDARP00000130806	olfcg2		A0A0R4I9Z7	
ENSDARG00000022045	ENSDART00000184483	ENSDARP00000149796	map1ab		A0A2R8QI85	
ENSDARG00000063347	ENSDART00000152447	ENSDARP00000127011	hrc		R4GEU8	
ENSDARG00000036510	ENSDART00000143599	ENSDARP00000115665	ccnt2b		F1Q7W1	
ENSDARG00000096619	ENSDART00000152758	ENSDARP00000127045	si:ch211-1f22.10		R4GEY1	
ENSDARG00000097973	ENSDART00000153830	ENSDARP00000134706	si:ch1073-190k2.1		A0A0R4IIV5	
ENSDARG00000074552	ENSDART00000158599	ENSDARP00000135731	ndufs7		A0A0R4ILG5	
ENSDARG00000022045	ENSDART00000181338	ENSDARP00000155552	map1ab		A0A2R8QI85	
ENSDARG00000098237	ENSDART00000125302	ENSDARP00000112260	fbn2b		E7FG71	
ENSDARG00000013251	ENSDART00000181589	ENSDARP00000150156	hsf4		A0A2R8QAT5	NP_001315137
ENSDARG00000102705	ENSDART00000168583	ENSDARP00000130662	otud6b		F1QWU1	NP_956519
ENSDARG00000036510	ENSDART00000168857	ENSDARP00000134438	ccnt2b		A0A0R4II93	
ENSDARG00000039365	ENSDART00000123482	ENSDARP00000107612	cuedc2	Q6TLH3		
ENSDARG00000100594	ENSDART00000172128	ENSDARP00000132123	sez6l		A0A0R4IG06	
ENSDARG00000063347	ENSDART00000152314	ENSDARP00000126648	hrc		R4GDU1	
ENSDARG00000039365	ENSDART00000057528	ENSDARP00000057527	cuedc2	Q6TLH3		NP_001017994
ENSDARG00000007601	ENSDART00000171183	ENSDARP00000137232	zmynd8		A0A0R4ISB9	
ENSDARG00000018066	ENSDART00000151915	ENSDARP00000126544	ptchd1		K7DYL5	
ENSDARG00000100594	ENSDART00000190331	ENSDARP00000147774	sez6l		A0A2R8Q401	
ENSDARG00000093448	ENSDART00000137572	ENSDARP00000115443	mpc1		F1Q6Z3	NP_001002398
ENSDARG00000018066	ENSDART00000186814	ENSDARP00000153962	ptchd1		K7DYL5	
ENSDARG00000100083	ENSDART00000166819	ENSDARP00000135565	sugt1		Q5U3E4	NP_001007362
ENSDARG00000063347	ENSDART00000159007	ENSDARP00000140015	hrc		S5TZ97	NP_001314961
ENSDARG00000090624	ENSDART00000174223	ENSDARP00000143079	ADGRL3		A0A1L1QZG3	
ENSDARG00000045299	ENSDART00000066621	ENSDARP00000066620	vmo1b		F1RCF0	
ENSDARG00000100594	ENSDART00000163523	ENSDARP00000138253	sez6l		A0A0R4IQN1	
ENSDARG00000040180	ENSDART00000132917	ENSDARP00000121233	slc35a1		B8JLA3	
ENSDARG00000088316	ENSDART00000151680	ENSDARP00000126024	si:ch73-302o18.2		I3ISX4	
ENSDARG00000015015	ENSDART00000141835	ENSDARP00000122179	tspan18b		A3KQH0	NP_001002439
ENSDARG00000074552	ENSDART00000111374	ENSDARP00000098301	ndufs7		F1QHE9	NP_001186841
ENSDARG00000044956	ENSDART00000066086	ENSDARP00000066085	zgc:114123		F1Q966	NP_001025403
ENSDARG00000059855	ENSDART00000147299	ENSDARP00000117869	wdr66		A3QK38	
ENSDARG00000088316	ENSDART00000151526	ENSDARP00000125670	si:ch73-302o18.2		I3IS07	
ENSDARG00000099499	ENSDART00000159787	ENSDARP00000138096	ndufa4l		Q7ZTT8	NP_998582
ENSDARG00000100083	ENSDART00000164984	ENSDARP00000139631	sugt1		A0A0R4IS86	
ENSDARG00000058597	ENSDART00000148992	ENSDARP00000124389	nt5c3a		F8W3F7	
ENSDARG00000057013	ENSDART00000079596	ENSDARP00000074048	cadm3		B0F6R3	NP_001038711
ENSDARG00000040180	ENSDART00000058777	ENSDARP00000058776	slc35a1		B3DIQ6	NP_001122283
ENSDARG00000007601	ENSDART00000182081	ENSDARP00000155070	zmynd8		A0A2R8QIN7	
ENSDARG00000090624	ENSDART00000131113	ENSDARP00000109937	ADGRL3		F1QCG6	
ENSDARG00000015015	ENSDART00000187816	ENSDARP00000156251	tspan18b		A0A2R8QSE1	
ENSDARG00000009657	ENSDART00000021139	ENSDARP00000005747	fgfr1op2	Q7T338		NP_956249
ENSDARG00000019406	ENSDART00000152224	ENSDARP00000126646	C7H11orf68	Q6NWH0		NP_956742
ENSDARG00000030945	ENSDART00000156352	ENSDARP00000127487	BLTP2		X1WB96	
ENSDARG00000021220	ENSDART00000027957	ENSDARP00000026028	hmgcl		F1QTF0	NP_957509
ENSDARG00000099499	ENSDART00000180531	ENSDARP00000156340	ndufa4l		A0A2R8QLN3	
ENSDARG00000020201	ENSDART00000013607	ENSDARP00000017639	cdc73		Q7T3D4	NP_956642
ENSDARG00000005775	ENSDART00000022042	ENSDARP00000024690	scn8aa		Q9DF53	NP_571703
ENSDARG00000058597	ENSDART00000149935	ENSDARP00000124742	nt5c3a		F8W2G1	
ENSDARG00000028088	ENSDART00000030566	ENSDARP00000037286	galk1		F1R3T4	NP_001006002
ENSDARG00000030335	ENSDART00000041549	ENSDARP00000041548	zc3h10		Q6ZM22	NP_996981
ENSDARG00000030945	ENSDART00000192212	ENSDARP00000147998	BLTP2		A0A2R8Q561	
ENSDARG00000078954	ENSDART00000132887	ENSDARP00000115975	rxrba		F1QAP7	
ENSDARG00000057013	ENSDART00000111246	ENSDARP00000097497	cadm3		B0CLV6	
ENSDARG00000088316	ENSDART00000130984	ENSDARP00000110106	si:ch73-302o18.2		E7FCW6	
ENSDARG00000007601	ENSDART00000180565	ENSDARP00000145604	zmynd8		A0A2R8Q412	
ENSDARG00000055610	ENSDART00000134337	ENSDARP00000121614	exoc2		F1R5Y1	
ENSDARG00000073707	ENSDART00000110923	ENSDARP00000103132	cnksr2b		E7FAZ0	
ENSDARG00000059855	ENSDART00000083665	ENSDARP00000078100	wdr66		F1Q8Y1	
ENSDARG00000058597	ENSDART00000149030	ENSDARP00000124279	nt5c3a		F8W416	
ENSDARG00000100083	ENSDART00000180692	ENSDARP00000148100	sugt1		A0A2R8Q4T9	
ENSDARG00000021220	ENSDART00000190601	ENSDARP00000145263	hmgcl		F1QTF0	
ENSDARG00000030335	ENSDART00000172176	ENSDARP00000139777	zc3h10		Q6ZM22	
ENSDARG00000036994	ENSDART00000136243	ENSDARP00000122393	tbc1d16		E7FE32	NP_001006076
