Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name	RefSeq peptide ID
YPL071C	YPL071C_mRNA	YPL071C	856034	Q02864			NP_015254.1	
YLL050C	YLL050C_mRNA	YLL050C	850676	Q03048		COF1	NP_013050.1	
YMR172W	YMR172W_mRNA	YMR172W	855208	Q03213		HOT1	NP_013895.1	
YOR185C	YOR185C_mRNA	YOR185C	854357	P32836		GSP2	NP_014828.1	
YLL032C	YLL032C_mRNA	YLL032C	850627	Q07834			NP_013068.1	
YBR225W	YBR225W_mRNA	YBR225W	852526	P38321			NP_009784.1	
YEL041W	YEL041W_mRNA	YEL041W	856670	P32622		YEF1	NP_010873.1	
YOR237W	YOR237W_mRNA	YOR237W	854412	P35843		HES1	NP_014880.3	
YMR027W	YMR027W_mRNA	YMR027W	855042	Q04371			NP_013740.1	
YBR182C-A	YBR182C-A_mRNA	YBR182C-A	1466446	Q8TGU6			NP_878050.1	
YKL103C	YKL103C_mRNA	YKL103C	853758	P14904			NP_012819.1	
YOL048C	YOL048C_mRNA	YOL048C	854109	Q08219		RRT8	NP_014594.2	
YIR015W	YIR015W_mRNA	YIR015W	854832	P40571		RPR2	NP_012280.1	
YNR017W	YNR017W_mRNA	YNR017W	855751	P32897		TIM23	NP_014414.3	
YBL055C	YBL055C_mRNA	YBL055C	852225	P34220			NP_009498.1	
YML089C	YML089C_mRNA	YML089C		Q04502				
YOL144W	YOL144W_mRNA	YOL144W	854021	Q08287		NOP8	NP_014497.1	
YDL246C	YDL246C_mRNA	YDL246C	851351	Q07786		SOR2	NP_010035.1	
YDL243C	YDL243C_mRNA	YDL243C	851354	Q07747		AAD4	NP_010038.1	
YDR387C	YDR387C_mRNA	YDR387C	851995	Q04162		CIN10	NP_010675.3	
YMR290C	YMR290C_mRNA	YMR290C	855335	Q03532		HAS1	NP_014017.1	
YOR082C	YOR082C_mRNA	YOR082C		Q08498				
YCR031C	YCR031C_mRNA	YCR031C	850397	P06367		RPS14A	NP_009960.2	
YBR293W	YBR293W_mRNA	YBR293W	852596	P38358		VBA2	NP_009852.3	
YJL160C	YJL160C_mRNA	YJL160C	853280	P46999		PIR5	NP_012375.2	
YBR223W-A	YBR223W-A_mRNA	YBR223W-A		Q8TGQ3				
YMR139W	YMR139W_mRNA	YMR139W	855170	P38615		RIM11	NP_013859.1	
YNL105W	YNL105W_mRNA	YNL105W		P50943		RRT16		
YDL094C	YDL094C_mRNA	YDL094C		Q07509				
YDR438W	YDR438W_mRNA	YDR438W	852048	Q04083		THI74	NP_010726.3	
YDR523C	YDR523C_mRNA	YDR523C	852135	P08458		SPS1	NP_010811.1	
YDR542W	YDR542W_mRNA	YDR542W	852155	Q03050		PAU10	NP_010831.3	
YIL156W-A	YIL156W-A_mRNA	YIL156W-A		A0A023PXG3				
YLR466W	YLR466W_mRNA	YLR466W	851187	O13559		YRF1-4	NP_013571.3	
YPL208W	YPL208W_mRNA	YPL208W	855893	Q08961		RKM1	NP_015116.1	
YLR054C	YLR054C_mRNA	YLR054C	850743	Q12202		OSW2	NP_013155.2	
YER011W	YER011W_mRNA	YER011W	856729	P10863		TIR1	NP_010927.1	
YLR437C	YLR437C_mRNA	YLR437C	851157	O13577		DIF1	NP_013541.3	
YPL102C	YPL102C_mRNA	YPL102C		O13517				
YNR069C	YNR069C_mRNA	YNR069C	855806	P53755		BSC5	NP_014467.3	
YDR492W	YDR492W_mRNA	YDR492W	852102	Q03419		IZH1	NP_010780.1	
YIL115W-A	YIL115W-A_mRNA	YIL115W-A		A0A023PZJ9				
YMR191W	YMR191W_mRNA	YMR191W	855229	P42933		SPG5	NP_013916.2	
YIL086C	YIL086C_mRNA	YIL086C		P40503				
YOL072W	YOL072W_mRNA	YOL072W	854082	Q08231		THP1	NP_014569.1	
YOR114W	YOR114W_mRNA	YOR114W	854281	Q12219			NP_014757.1	
YIL156W-B	YIL156W-B_mRNA	YIL156W-B	3628034	Q2V2P4			NP_001027534.1	
YHR094C	YHR094C_mRNA	YHR094C	856494	P32465		HXT1	NP_011962.1	
YOL085C	YOL085C_mRNA	YOL085C		Q99345				
YFL031C-A	YFL031C-A_mRNA	YFL031C-A		Q8TGU3				
YHL031C	YHL031C_mRNA	YHL031C	856354	P38736		GOS1	NP_011832.1	
YOR385W	YOR385W_mRNA	YOR385W	854567	Q08909			NP_015030.3	
YGL087C	YGL087C_mRNA	YGL087C	852793	P53152		MMS2	NP_011428.1	
YMR244C-A	YMR244C-A_mRNA	YMR244C-A	855287	Q3E846		COA6	NP_013972.1	
YNL306W	YNL306W_mRNA	YNL306W	855410	P42847		MRPS18	NP_014093.1	
YOR214C	YOR214C_mRNA	YOR214C	854389	Q12282		SPR2	NP_014857.3	
YAL037W	YAL037W_mRNA	YAL037W	851194	P39728			NP_009363.1	
YLR217W	YLR217W_mRNA	YLR217W		O13532				
YLL056C	YLL056C_mRNA	YLL056C	850670	Q12177			NP_013044.1	
YOL119C	YOL119C_mRNA	YOL119C	854030	Q08268		MCH4	NP_014522.1	
YJL204C	YJL204C_mRNA	YJL204C	853226	P39531		RCY1	NP_012331.1	
YAL016W	YAL016W_mRNA	YAL016W	851217	P31383		TPD3	NP_009386.1	
YIL146C	YIL146C_mRNA	YIL146C	854660	P40458		ATG32	NP_012120.1	
YCL011C	YCL011C_mRNA	YCL011C	850346	P25555		GBP2	NP_009916.1	
YLR128W	YLR128W_mRNA	YLR128W	850819	Q12395		DCN1	NP_013229.1	
YKL131W	YKL131W_mRNA	YKL131W		P36067				
YDR018C	YDR018C_mRNA	YDR018C	851581	Q12185			NP_010301.1	
YOR019W	YOR019W_mRNA	YOR019W	854184	Q99248			NP_014662.1	
YNL288W	YNL288W_mRNA	YNL288W	855428	P53829		CAF40	NP_014111.1	
YCL040W	YCL040W_mRNA	YCL040W	850317	P17709		GLK1	NP_009890.1	
YER158W-A	YER158W-A_mRNA	YER158W-A		Q8TGR3				
YNL191W	YNL191W_mRNA	YNL191W	855530	P53871		DUG3	NP_014208.1	
YBR115C	YBR115C_mRNA	YBR115C	852412	P07702		LYS2	NP_009673.1	
YGL156W	YGL156W_mRNA	YGL156W	852721	P22855		AMS1	NP_011359.1	
YNL150W	YNL150W_mRNA	YNL150W		P53902				
YCR052W	YCR052W_mRNA	YCR052W	850419	P25632		RSC6	NP_009981.1	
YGL015C	YGL015C_mRNA	YGL015C	852869	P33199			NP_011500.3	
YOR206W	YOR206W_mRNA	YOR206W	854381	P39744		NOC2	NP_014849.3	
YMR091C	YMR091C_mRNA	YMR091C	855116	P32832		NPL6	NP_013809.1	
YMR173W-A	YMR173W-A_mRNA	YMR173W-A		A0A023PXQ4				
YJR105W	YJR105W_mRNA	YJR105W	853569	P47143		ADO1	NP_012639.1	
YHL002W	YHL002W_mRNA	YHL002W	856387	P38753		HSE1	NP_011861.1	
YCR100C	YCR100C_mRNA	YCR100C	850464	P25606			NP_010024.1	
YOR345C	YOR345C_mRNA	YOR345C		Q08811				
YPL217C	YPL217C_mRNA	YPL217C	855884	Q08965		BMS1	NP_015107.1	
YOR341W	YOR341W_mRNA	YOR341W	854519	P10964		RPA190	NP_014986.3	
YDL189W	YDL189W_mRNA	YDL189W	851338	Q05672		RBS1	NP_010092.2	
YLR279W	YLR279W_mRNA	YLR279W		O13540				
YHR219C-A	YHR219C-A_mRNA	YHR219C-A		P0CL34				
YHR219C-A	YHR219C-A_mRNA	YHR219C-A		P0CL35				
YHR219C-A	YHR219C-A_mRNA	YHR219C-A		P0CL36				
YER056C-A	YER056C-A_mRNA	YER056C-A	856784	P87262		RPL34A	NP_010977.2	
YMR180C	YMR180C_mRNA	YMR180C	855218	Q03220		CTL1	NP_013905.1	
YNL097C	YNL097C_mRNA	YNL097C	855626	P50947		PHO23	NP_014302.3	
YDR508C	YDR508C_mRNA	YDR508C	852121	P48813		GNP1	NP_010796.1	
YHR045W	YHR045W_mRNA	YHR045W	856441	P38775			NP_011911.1	
YML020W	YML020W_mRNA	YML020W	854988	Q03722			NP_013692.1	
YGR251W	YGR251W_mRNA	YGR251W	853166	P53317		NOP19	NP_011767.3	
YPL197C	YPL197C_mRNA	YPL197C		Q08953				
YBR031W	YBR031W_mRNA	YBR031W	852319	P10664		RPL4A	NP_009587.1	
YDR462W	YDR462W_mRNA	YDR462W	852073	P36527		MRPL28	NP_010750.1	
YPR139C	YPR139C_mRNA	YPR139C	856261	Q06508			NP_015465.1	
YPR169W	YPR169W_mRNA	YPR169W	856298	Q06214		JIP5	NP_015495.2	
YPL257W	YPL257W_mRNA	YPL257W	855818	Q08974			NP_015066.1	
YOL088C	YOL088C_mRNA	YOL088C	854065	Q99316		MPD2	NP_014553.1	
YLR075W	YLR075W_mRNA	YLR075W	850764	P41805		RPL10	NP_013176.1	
YML088W	YML088W_mRNA	YML088W	854886	Q04511		UFO1	NP_013622.1	
YIL010W	YIL010W_mRNA	YIL010W	854805	P40553		DOT5	NP_012255.3	
YBL108C-A	YBL108C-A_mRNA	YBL108C-A				PAU9		
YDR175C	YDR175C_mRNA	YDR175C	851755	Q03976		RSM24	NP_010460.1	
YLR052W	YLR052W_mRNA	YLR052W	850741	Q12345		IES3	NP_013153.1	
YKR004C	YKR004C_mRNA	YKR004C	853873	Q02202		ECM9	NP_012929.4	
YNL137C	YNL137C_mRNA	YNL137C	855585	P27929		NAM9	NP_014262.3	
YNL331C	YNL331C_mRNA	YNL331C	855385	P42884		AAD14	NP_014068.1	
YFL026W	YFL026W_mRNA	YFL026W	850518	D6VTK4		STE2	NP_116627.2	
YBR116C	YBR116C_mRNA	YBR116C		P38268				
YJR129C	YJR129C_mRNA	YJR129C	853593	P47163		EFM3	NP_012663.2	
YKR092C	YKR092C_mRNA	YKR092C	853967	P32583		SRP40	NP_013018.3	
YDR186C	YDR186C_mRNA	YDR186C	851767	Q04007		SND1	NP_010472.3	
YML077W	YML077W_mRNA	YML077W	854898	Q03630		BET5	NP_013634.1	
YEL067C	YEL067C_mRNA	YEL067C	856643	P39978			NP_010847.1	
YJL139C	YJL139C_mRNA	YJL139C	853302	P26725		YUR1	NP_012396.1	
YKL002W	YKL002W_mRNA	YKL002W	853868	P36108		DID4	NP_012924.2	
YGR162W	YGR162W_mRNA	YGR162W	853071	P39935		TIF4631	NP_011678.3	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466410	P0CY05			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466411	P0CY05			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466415	P0CY05			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466414	P0CY05			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466410	P0CY02			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466411	P0CY02			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466415	P0CY02			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466414	P0CY02			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466410	P0CY04			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466411	P0CY04			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466415	P0CY04			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466414	P0CY04			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466410	P0CY03			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466411	P0CY03			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466415	P0CY03			NP_878122.1	
YLR159C-A	YLR159C-A_mRNA	YLR159C-A	1466414	P0CY03			NP_878122.1	
YDR150W	YDR150W_mRNA	YDR150W	851727	Q00402		NUM1	NP_010434.1	
YEL054C	YEL054C_mRNA	YEL054C	852026	P0CX54		RPL12A	NP_010706.3	
YEL054C	YEL054C_mRNA	YEL054C	856656	P0CX54		RPL12A	NP_010706.3	
YEL054C	YEL054C_mRNA	YEL054C	852026	P0CX53		RPL12A	NP_010706.3	
YEL054C	YEL054C_mRNA	YEL054C	856656	P0CX53		RPL12A	NP_010706.3	
YOR392W	YOR392W_mRNA	YOR392W		Q08915				
YPL009C	YPL009C_mRNA	YPL009C	856098	Q12532		RQC2	NP_015316.1	
YLR025W	YLR025W_mRNA	YLR025W	850712	P39929		SNF7	NP_013125.1	
YDR243C	YDR243C_mRNA	YDR243C	851830	P23394		PRP28	NP_010529.3	
YGR005C	YGR005C_mRNA	YGR005C	852888	P41896		TFG2	NP_011519.3	
YOR160W	YOR160W_mRNA	YOR160W	854331	Q99189		MTR10	NP_014803.1	
YLR049C	YLR049C_mRNA	YLR049C	850738	Q12110			NP_013150.1	
YLR308W	YLR308W_mRNA	YLR308W	851017	Q06703		CDA2	NP_013411.1	
YOR084W	YOR084W_mRNA	YOR084W	854251	Q12405		LPX1	NP_014727.1	
YNL030W	YNL030W_mRNA	YNL030W	852294	P02309		HHF2	NP_014368.1	
YNL030W	YNL030W_mRNA	YNL030W	855701	P02309		HHF2	NP_014368.1	
YHR084W	YHR084W_mRNA	YHR084W	856484	P13574		STE12	NP_011952.1	
YLR032W	YLR032W_mRNA	YLR032W	850719	P32849		RAD5	NP_013132.1	
YOR039W	YOR039W_mRNA	YOR039W	854204	P38930		CKB2	NP_014682.1	
YBR241C	YBR241C_mRNA	YBR241C	852543	P38142			NP_009800.1	
YEL047C	YEL047C_mRNA	YEL047C	856664	P32614			NP_010867.3	
YML125C	YML125C_mRNA	YML125C	854914	Q12746		PGA3	NP_013581.1	
YOR264W	YOR264W_mRNA	YOR264W	854437	Q08729		DSE3	NP_014907.3	
YPL183C	YPL183C_mRNA	YPL183C	855919	Q08924		RTT10	NP_015142.1	
YNL297C	YNL297C_mRNA	YNL297C	855420	P48563		MON2	NP_014102.1	
YPR065W	YPR065W_mRNA	YPR065W	856178	P25042		ROX1	NP_015390.1	
YNL102W	YNL102W_mRNA	YNL102W	855621	P13382		POL1	NP_014297.3	
YPR099C	YPR099C_mRNA	YPR099C		O13548				
YCR107W	YCR107W_mRNA	YCR107W	850471	P25612		AAD3	NP_010032.1	
YMR318C	YMR318C_mRNA	YMR318C	855368	Q04894		ADH6	NP_014051.3	
YPR032W	YPR032W_mRNA	YPR032W	856144	Q12038		SRO7	NP_015357.1	
YOR281C	YOR281C_mRNA	YOR281C	854456	Q12017		PLP2	NP_014924.3	
YMR115W	YMR115W_mRNA	YMR115W	855142	Q04472		MGR3	NP_013833.1	
YFR027W	YFR027W_mRNA	YFR027W	850584	P43605		ECO1	NP_116683.1	
YMR266W	YMR266W_mRNA	YMR266W	855308	Q03516		RSN1	NP_013993.1	
YDL182W	YDL182W_mRNA	YDL182W	851346	P48570		LYS20	NP_010099.1	
YER146W	YER146W_mRNA	YER146W	856889	P40089		LSM5	NP_011073.1	
YLR251W	YLR251W_mRNA	YLR251W	850953	Q06563		SYM1	NP_013352.1	
YBR182C	YBR182C_mRNA	YBR182C	852480	P38128		SMP1	NP_009741.3	
YDR362C	YDR362C_mRNA	YDR362C	851964	Q06339		TFC6	NP_010649.1	
YNR026C	YNR026C_mRNA	YNR026C	855760	P11655		SEC12	NP_014423.1	
YBR134W	YBR134W_mRNA	YBR134W		P38275				
YHR126C	YHR126C_mRNA	YHR126C	856527	P38832		ANS1	NP_011994.1	
YPR194C	YPR194C_mRNA	YPR194C	856324	Q06593		OPT2	NP_015520.1	
YGL160W	YGL160W_mRNA	YGL160W	852716	P53109		AIM14	NP_011355.1	
YAL003W	YAL003W_mRNA	YAL003W	851260	P32471		EFB1	NP_009398.1	
YPL084W	YPL084W_mRNA	YPL084W	856021	P48582		BRO1	NP_015241.1	
YNL152W	YNL152W_mRNA	YNL152W	855570	P53901		INN1	NP_014247.1	
YCL002C	YCL002C_mRNA	YCL002C	850353	P25565			NP_009924.4	
YIL117C	YIL117C_mRNA	YIL117C	854689	P40476		PRM5	NP_012149.1	
YBL037W	YBL037W_mRNA	YBL037W	852243	P38065		APL3	NP_009516.1	
YNL140C	YNL140C_mRNA	YNL140C	855582	P53910			NP_001257689.1	
YDR232W	YDR232W_mRNA	YDR232W	851818	P09950		HEM1	NP_010518.1	
YJL062W-A	YJL062W-A_mRNA	YJL062W-A	853383	Q3E7B2		COA3	NP_076894.3	
YBR019C	YBR019C_mRNA	YBR019C	852307	P04397		GAL10	NP_009575.1	
YBR022W	YBR022W_mRNA	YBR022W	852310	P38218		POA1	NP_009578.1	
YDR158W	YDR158W_mRNA	YDR158W	851736	P13663		HOM2	NP_010442.3	
YOR230W	YOR230W_mRNA	YOR230W	854405	Q12363		WTM1	NP_014873.3	
YNL099C	YNL099C_mRNA	YNL099C	855624	P50946		OCA1	NP_014300.3	
YKL173W	YKL173W_mRNA	YKL173W	853681	P36048		SNU114	NP_012748.1	
YER159C	YER159C_mRNA	YER159C	856904	P40096		BUR6	NP_011086.3	
YML057W	YML057W_mRNA	YML057W	854946	P14747		CMP2	NP_013655.1	
YML055W	YML055W_mRNA	YML055W	854949	Q04969		SPC2	NP_013657.1	
YDR439W	YDR439W_mRNA	YDR439W	852049	Q04087		LRS4	NP_010727.1	
YBR121C-A	YBR121C-A_mRNA	YBR121C-A		P0C5L4				
YJL110C	YJL110C_mRNA	YJL110C	853334	P42944		GZF3	NP_012425.1	
YNL182C	YNL182C_mRNA	YNL182C	855539	P53877		IPI3	NP_014217.1	
YJR088C	YJR088C_mRNA	YJR088C	853550	P47133		EMC2	NP_012621.1	
YMR105C	YMR105C_mRNA	YMR105C	855131	P37012		PGM2	NP_013823.1	
YOR144C	YOR144C_mRNA	YOR144C	854315	Q12050		ELG1	NP_014787.3	
YPR101W	YPR101W_mRNA	YPR101W	856216	Q06091		SNT309	NP_015426.1	
YPL179W	YPL179W_mRNA	YPL179W	855923	P32945		PPQ1	NP_015146.1	
YCL024W	YCL024W_mRNA	YCL024W	850334	P25389		KCC4	NP_009907.2	
YNL180C	YNL180C_mRNA	YNL180C	855541	P53879		RHO5	NP_014219.1	
YLR321C	YLR321C_mRNA	YLR321C	851032	Q06168		SFH1	NP_013425.1	
YPL224C	YPL224C_mRNA	YPL224C	855877	Q08970		MMT2	NP_015100.2	
YOL081W	YOL081W_mRNA	YOL081W	854073	P19158		IRA2	NP_014560.1	
YNR001C	YNR001C_mRNA	YNR001C	855732	P00890		CIT1	NP_014398.1	
YOL052C	YOL052C_mRNA	YOL052C	854105	P21182		SPE2	NP_014590.1	
YOR285W	YOR285W_mRNA	YOR285W	854459	Q12305		RDL1	NP_014928.1	
YIL050W	YIL050W_mRNA	YIL050W	854761	P40186		PCL7	NP_012214.3	
YMR268C	YMR268C_mRNA	YMR268C	855310	P49960		PRP24	NP_013995.1	
