Gene stable ID	RefSeq peptide ID
WBGene00000001	NP_491522
WBGene00000002	NP_501707
WBGene00000003	NP_505394
WBGene00000004	NP_508461
WBGene00000004	NP_001300351
WBGene00000005	NP_001023382
WBGene00000006	NP_491002
WBGene00000007	NP_505905
WBGene00000007	NP_001123014
WBGene00000008	NP_493960
WBGene00000009	NP_500425
WBGene00000010	NP_001021788
WBGene00000010	NP_001021789
WBGene00000012	NP_491253
WBGene00000013	NP_491252
WBGene00000014	NP_506950
WBGene00000015	NP_507965
WBGene00000016	NP_510136
WBGene00000017	NP_741914
WBGene00000018	NP_509778
WBGene00000018	NP_509777
WBGene00000018	NP_509779
WBGene00000018	NP_001368775
WBGene00000018	NP_001368776
WBGene00000019	NP_001293854
WBGene00000019	NP_001293855
WBGene00000020	NP_490949
WBGene00000020	NP_001368466
WBGene00000022	NP_503175
WBGene00000023	NP_001364572
WBGene00000024	NP_505667
WBGene00000025	NP_508265
WBGene00000027	NP_872210
WBGene00000028	NP_502873
WBGene00000029	NP_504383
WBGene00000030	NP_504384
WBGene00000031	NP_504393
WBGene00000032	NP_509407
WBGene00000033	NP_508659
WBGene00000034	NP_493679
WBGene00000035	NP_510660
WBGene00000036	NP_491141
WBGene00000036	NP_491141
WBGene00000037	NP_496963
WBGene00000038	NP_496962
WBGene00000039	NP_001024453
WBGene00000040	NP_509898
WBGene00000041	NP_741235
WBGene00000041	NP_498738
WBGene00000041	NP_498738
WBGene00000041	NP_498738
WBGene00000042	NP_509128
WBGene00000043	NP_509129
WBGene00000044	NP_001367477
WBGene00000045	NP_491354
WBGene00000046	NP_495647
WBGene00000047	NP_001361818
WBGene00000047	NP_001361818
WBGene00000048	NP_510285
WBGene00000049	NP_508692
WBGene00000050	NP_491906
WBGene00000051	NP_510262
WBGene00000051	NP_001300370
WBGene00000053	NP_495716
WBGene00000054	NP_505206
WBGene00000055	NP_505207
WBGene00000056	NP_001023961
WBGene00000056	NP_001303731
WBGene00000056	NP_001303732
WBGene00000056	NP_001303733
WBGene00000057	NP_506868
WBGene00000058	NP_492429
WBGene00000058	NP_001129756
WBGene00000059	NP_001366936
WBGene00000059	NP_001022273
WBGene00000059	NP_001367183
WBGene00000060	NP_001355512
WBGene00000060	NP_001355513
WBGene00000060	NP_001355514
WBGene00000060	NP_001355515
WBGene00000061	NP_509270
WBGene00000062	NP_504024
WBGene00000062	NP_001317822
WBGene00000063	NP_505819
WBGene00000064	NP_001370033
WBGene00000065	NP_001366892
WBGene00000065	NP_001366892
WBGene00000065	NP_001366892
WBGene00000066	NP_508841
WBGene00000066	NP_001368079
WBGene00000067	NP_499809
WBGene00000068	NP_497970
WBGene00000069	NP_504553
WBGene00000070	NP_497765
WBGene00000071	NP_504486
WBGene00000072	NP_001024639
WBGene00000072	NP_001024640
WBGene00000072	NP_001024641
WBGene00000072	NP_001024642
WBGene00000072	NP_001367832
WBGene00000073	NP_001041130
WBGene00000073	NP_001041131
WBGene00000074	NP_510291
WBGene00000074	NP_001355451
WBGene00000075	NP_509318
WBGene00000079	NP_492153
WBGene00000079	NP_492154
WBGene00000079	NP_871801
WBGene00000079	NP_001379329
WBGene00000079	NP_871803
WBGene00000080	NP_498594
WBGene00000081	NP_497185
WBGene00000082	NP_510116
WBGene00000082	NP_001361951
WBGene00000083	NP_001024532
WBGene00000083	NP_001367660
WBGene00000083	NP_001361970
WBGene00000084	NP_740891
WBGene00000084	NP_001021074
WBGene00000085	NP_509626
