Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
WBGene00000001	Y110A7A.10.1	Y110A7A.10.1	aap-1	172141
WBGene00000002	F27C8.1.1	F27C8.1.1	aat-1	177793
WBGene00000003	F07C3.7.1	F07C3.7.1	aat-2	184126
WBGene00000004	F52H2.2a.1	F52H2.2a.1	aat-3	180557
WBGene00000004	F52H2.2b.1	F52H2.2b.1	aat-3	180557
WBGene00000005	T13A10.10a.1	T13A10.10a.1	aat-4	177388
WBGene00000005	T13A10.10b		aat-4	177388
WBGene00000006	C55C2.5a.1	C55C2.5a.1	aat-5	171814
WBGene00000006	C55C2.5b		aat-5	171814
WBGene00000006	C55C2.5c		aat-5	171814
WBGene00000006	C55C2.5d		aat-5	171814
WBGene00000007	T11F9.4a.1	T11F9.4a.1	aat-6	188421
WBGene00000007	T11F9.4b.1	T11F9.4b.1	aat-6	188421
WBGene00000008	F54D12.3.1	F54D12.3.1	aat-7	186240
WBGene00000009	F28F9.4.1	F28F9.4.1	aat-8	185079
WBGene00000010	Y53H1C.1a.1	Y53H1C.1a.1	aat-9	190250
WBGene00000010	Y53H1C.1b.1	Y53H1C.1b.1	aat-9	190250
WBGene00000012	C50F2.9.1	C50F2.9.1	abf-1	266827
WBGene00000013	C50F2.10.1	C50F2.10.1	abf-2	266826
WBGene00000014	F54B8.5.1	F54B8.5.1	abf-3	186202
WBGene00000015	Y38H6C.22.1	Y38H6C.22.1	abf-4	189702
WBGene00000016	T22H6.5.1	T22H6.5.1	abf-5	188770
WBGene00000017	T22H6.7.1	T22H6.7.1	abf-6	181418
WBGene00000018	M79.1a.1	M79.1a.1	abl-1	181261
WBGene00000018	M79.1b.1	M79.1b.1	abl-1	181261
WBGene00000018	M79.1c.1	M79.1c.1	abl-1	181261
WBGene00000018	M79.1d.1	M79.1d.1	abl-1	181261
WBGene00000018	M79.1e.1	M79.1e.1	abl-1	181261
WBGene00000019	C24F3.5a.1	C24F3.5a.1	abt-1	182849
WBGene00000019	C24F3.5b.1	C24F3.5b.1	abt-1	182849
WBGene00000020	F12B6.1a.1	F12B6.1a.1	abt-2	171782
WBGene00000020	F12B6.1b.1	F12B6.1b.1	abt-2	171782
WBGene00000021	F55G11.9			
WBGene00000022	Y39D8C.1.1	Y39D8C.1.1	abt-4	178559
WBGene00000023	Y53C10A.9.1	Y53C10A.9.1	abt-5	173081
WBGene00000024	AC3.3.1	AC3.3.1	abu-1	181800
WBGene00000025	F19G12.7.1	F19G12.7.1	abu-2	184695
WBGene00000026	F31A3.1			
WBGene00000027	Y5H2A.3.1	Y5H2A.3.1	abu-4	353458
WBGene00000028	Y105C5A.4.1	Y105C5A.4.1	abu-5	190870
WBGene00000029	C03A7.7.1	C03A7.7.1	abu-6	178903
WBGene00000030	C03A7.8.1	C03A7.8.1	abu-7	182139
WBGene00000031	C03A7.14.1	C03A7.14.1	abu-8	178904
WBGene00000032	R09F10.2.1	R09F10.2.1	abu-9	187749
WBGene00000033	F35A5.3.1	F35A5.3.1	abu-10	185248
WBGene00000034	T01D1.6.1	T01D1.6.1	abu-11	173404
WBGene00000035	W09B12.1.1	W09B12.1.1	ace-1	181706
WBGene00000036	Y44E3A.2.1	Y44E3A.2.1	ace-2	171905
WBGene00000036	Y44E3A.2.2	Y44E3A.2.2	ace-2	171905
WBGene00000037	Y48B6A.8.1	Y48B6A.8.1	ace-3	175076
WBGene00000038	Y48B6A.7.1	Y48B6A.7.1	ace-4	175074
WBGene00000039	C42D8.5.1	C42D8.5.1	acn-1	180780
WBGene00000040	ZK455.1.1	ZK455.1.1	aco-1	181324
WBGene00000041	F54H12.1a.1	F54H12.1a.1	aco-2	176121
WBGene00000041	F54H12.1c.1	F54H12.1c.1	aco-2	176121
WBGene00000041	F54H12.1c.2	F54H12.1c.2	aco-2	176121
WBGene00000041	F54H12.1c.3	F54H12.1c.3	aco-2	176121
WBGene00000042	K11G12.2.1	K11G12.2.1	acr-2	180936
WBGene00000043	K11G12.7.1	K11G12.7.1	acr-3	180937
WBGene00000044	K03F8.2.1	K03F8.2.1	acr-5	191596
WBGene00000045	ZK973.5.1	ZK973.5.1	acr-6	191479
WBGene00000046	T09A5.3.1	T09A5.3.1	acr-7	174262
WBGene00000047	ZC504.2.1	ZC504.2.1	acr-8	181246
WBGene00000047	ZC504.2.2	ZC504.2.2	acr-8	181246
WBGene00000048	C40C9.2.1	C40C9.2.1	acr-9	191597
WBGene00000049	R02E12.8.1	R02E12.8.1	acr-10	191598
WBGene00000050	D2092.3.1	D2092.3.1	acr-11	191599
WBGene00000051	R01E6.4a.1	R01E6.4a.1	acr-12	181475
WBGene00000051	R01E6.4b.1	R01E6.4b.1	acr-12	181475
WBGene00000053	T05C12.2.1	T05C12.2.1	acr-14	191601
WBGene00000054	F25G6.4.1	F25G6.4.1	acr-15	191602
WBGene00000055	F25G6.3.1	F25G6.3.1	acr-16	179235
WBGene00000056	F53E10.2a		acr-17	191603
WBGene00000056	F53E10.2b.1	F53E10.2b.1	acr-17	191603
WBGene00000056	F53E10.2c		acr-17	191603
WBGene00000056	F53E10.2d		acr-17	191603
WBGene00000056	F53E10.2e		acr-17	191603
WBGene00000056	F53E10.2f		acr-17	191603
WBGene00000056	F53E10.2g.1	F53E10.2g.1	acr-17	191603
WBGene00000056	F53E10.2h.1	F53E10.2h.1	acr-17	191603
WBGene00000056	F53E10.2i.1	F53E10.2i.1	acr-17	191603
WBGene00000057	F28F8.1.1	F28F8.1.1	acr-18	191604
WBGene00000058	C31H5.3a.1	C31H5.3a.1	acr-19	191605
WBGene00000058	C31H5.3b.1	C31H5.3b.1	acr-19	191605
WBGene00000059	R06A4.10a.1	R06A4.10a.1	acr-20	187632
WBGene00000059	R06A4.10b.1	R06A4.10b.1	acr-20	187632
WBGene00000059	R06A4.10c.1	R06A4.10c.1	acr-20	187632
WBGene00000060	F27B3.2a.1	F27B3.2a.1	acr-21	185004
WBGene00000060	F27B3.2b.1	F27B3.2b.1	acr-21	185004
WBGene00000060	F27B3.2c.1	F27B3.2c.1	acr-21	185004
WBGene00000060	F27B3.2d.1	F27B3.2d.1	acr-21	185004
WBGene00000061	F48E3.7.1	F48E3.7.1	lgc-11	181009
WBGene00000062	F59B1.9a.1	F59B1.9a.1	acr-23	191606
WBGene00000062	F59B1.9b.1	F59B1.9b.1	acr-23	191606
WBGene00000063	T04C12.6.1	T04C12.6.1	act-1	179535
WBGene00000064	T04C12.5.1	T04C12.5.1	act-2	179534
WBGene00000065	T04C12.4.1	T04C12.4.1	act-3	179533
WBGene00000065	T04C12.4.2	T04C12.4.2	act-3	179533
WBGene00000065	T04C12.4.3	T04C12.4.3	act-3	179533
WBGene00000066	M03F4.2a.1	M03F4.2a.1	act-4	180767
WBGene00000066	M03F4.2b.1	M03F4.2b.1	act-4	180767
WBGene00000067	T25C8.2.1	T25C8.2.1	act-5	176793
WBGene00000068	F17C8.1.1	F17C8.1.1	acy-1	175622
WBGene00000069	C10F3.3.1	C10F3.3.1	acy-2	191607
WBGene00000070	C44F1.5.1	C44F1.5.1	acy-3	175489
WBGene00000071	T01C2.1.1	T01C2.1.1	acy-4	178949
WBGene00000072	F39C12.2a.1	F39C12.2a.1	add-1	180760
WBGene00000072	F39C12.2b.1	F39C12.2b.1	add-1	180760
WBGene00000072	F39C12.2c.1	F39C12.2c.1	add-1	180760
WBGene00000072	F39C12.2d.1	F39C12.2d.1	add-1	180760
WBGene00000072	F39C12.2e.1	F39C12.2e.1	add-1	180760
WBGene00000073	F57F5.4a.1	F57F5.4a.1	add-2	179647
WBGene00000073	F57F5.4b.1	F57F5.4b.1	add-2	179647
WBGene00000074	C04A11.4a.1	C04A11.4a.1	adm-2	181489
WBGene00000074	C04A11.4b.1	C04A11.4b.1	adm-2	181489
WBGene00000075	ZK154.7.1	ZK154.7.1	adm-4	181041
WBGene00000079	H15N14.1c.1	H15N14.1c.1	adr-1	172542
WBGene00000079	H15N14.1d.1	H15N14.1d.1	adr-1	172542
WBGene00000079	H15N14.1e.1	H15N14.1e.1	adr-1	172542
WBGene00000079	H15N14.1f.1	H15N14.1f.1	adr-1	172542
WBGene00000079	H15N14.1g.1	H15N14.1g.1	adr-1	172542
WBGene00000080	T20H4.4.1	T20H4.4.1	adr-2	176022
WBGene00000081	Y50D7A.7.1	Y50D7A.7.1	ads-1	175192
WBGene00000082	C02B4.1a.1	C02B4.1a.1	adt-1	181412
WBGene00000082	C02B4.1b.1	C02B4.1b.1	adt-1	181412
WBGene00000083	F08C6.1a.1	F08C6.1a.1	adt-2	181022
WBGene00000083	F08C6.1b.1	F08C6.1b.1	adt-2	181022
WBGene00000083	F08C6.1c.1	F08C6.1c.1	adt-2	181022
WBGene00000084	D2030.10a.1	D2030.10a.1	aex-1	172519
WBGene00000084	D2030.10b.1	D2030.10b.1	aex-1	172519
WBGene00000085	T14B1.2.1	T14B1.2.1	aex-2	188491
WBGene00000086	C02H7.3a.1	C02H7.3a.1	aex-3	180420
WBGene00000086	C02H7.3b.1	C02H7.3b.1	aex-3	180420
WBGene00000088	F32A7.6.1	F32A7.6.1	aex-5	173358
WBGene00000089	Y87G2A.4.1	Y87G2A.4.1	aex-6	173223
WBGene00000090	B0334.8a.1	B0334.8a.1	age-1	174762
WBGene00000090	B0334.8b.1	B0334.8b.1	age-1	174762
WBGene00000092	F32A6.4a.1	F32A6.4a.1	ags-3	180801
WBGene00000092	F32A6.4a.2	F32A6.4a.2	ags-3	180801
WBGene00000092	F32A6.4b		ags-3	180801
WBGene00000092	F32A6.4c		ags-3	180801
WBGene00000092	F32A6.4d.1	F32A6.4d.1	ags-3	180801
WBGene00000092	F32A6.4e.1	F32A6.4e.1	ags-3	180801
WBGene00000092	F32A6.4f.1	F32A6.4f.1	ags-3	180801
WBGene00000092	F32A6.4f.2	F32A6.4f.2	ags-3	180801
WBGene00000092	F32A6.4f.3	F32A6.4f.3	ags-3	180801
WBGene00000092	F32A6.4f.4	F32A6.4f.4	ags-3	180801
WBGene00000092	F32A6.4f.5	F32A6.4f.5	ags-3	180801
WBGene00000092	F32A6.4g.1	F32A6.4g.1	ags-3	180801
WBGene00000093	Y62E10A.5a.1	Y62E10A.5a.1	agt-1	190454
WBGene00000093	Y62E10A.5b.1	Y62E10A.5b.1	agt-1	190454
WBGene00000094	F09E5.13.1	F09E5.13.1	agt-2	184244
WBGene00000095	C25A1.11.1	C25A1.11.1	aha-1	172889
WBGene00000096	C41G7.5a.1	C41G7.5a.1	ahr-1	172788
WBGene00000096	C41G7.5b.1	C41G7.5b.1	ahr-1	172788
WBGene00000097	F58E10.4.1	F58E10.4.1	aip-1	179898
WBGene00000098	K07C11.2.1	K07C11.2.1	air-1	179202
WBGene00000099	B0207.4.1	B0207.4.1	air-2	172268
WBGene00000099	B0207.4.2	B0207.4.2	air-2	172268
WBGene00000100	C25A11.4a.1	C25A11.4a.1	ajm-1	181148
WBGene00000100	C25A11.4a.2	C25A11.4a.2	ajm-1	181148
WBGene00000100	C25A11.4a.3	C25A11.4a.3	ajm-1	181148
WBGene00000100	C25A11.4a.4	C25A11.4a.4	ajm-1	181148
WBGene00000100	C25A11.4b.1	C25A11.4b.1	ajm-1	181148
WBGene00000100	C25A11.4c.1	C25A11.4c.1	ajm-1	181148
WBGene00000100	C25A11.4d.1	C25A11.4d.1	ajm-1	181148
WBGene00000100	C25A11.4e.1	C25A11.4e.1	ajm-1	181148
WBGene00000100	C25A11.4f.1	C25A11.4f.1	ajm-1	181148
WBGene00000100	C25A11.4g.1	C25A11.4g.1	ajm-1	181148
WBGene00000100	C25A11.4h.1	C25A11.4h.1	ajm-1	181148
WBGene00000100	C25A11.4i.1	C25A11.4i.1	ajm-1	181148
WBGene00000100	C25A11.4j.1	C25A11.4j.1	ajm-1	181148
WBGene00000100	C25A11.4k.1	C25A11.4k.1	ajm-1	181148
WBGene00000100	C25A11.4l.1	C25A11.4l.1	ajm-1	181148
WBGene00000100	C25A11.4m.1	C25A11.4m.1	ajm-1	181148
WBGene00000101	D1022.7a.1	D1022.7a.1	aka-1	174216
WBGene00000101	D1022.7b.1	D1022.7b.1	aka-1	174216
WBGene00000101	D1022.7c.1	D1022.7c.1	aka-1	174216
WBGene00000102	C12D8.10a.1	C12D8.10a.1	akt-1	179424
WBGene00000102	C12D8.10b.1	C12D8.10b.1	akt-1	179424
WBGene00000102	C12D8.10c.1	C12D8.10c.1	akt-1	179424
WBGene00000103	F28H6.1a.1	F28H6.1a.1	akt-2	181524
WBGene00000103	F28H6.1b.1	F28H6.1b.1	akt-2	181524
WBGene00000105	F48F7.1a.1	F48F7.1a.1	alg-1	181504
WBGene00000105	F48F7.1a.2	F48F7.1a.2	alg-1	181504
WBGene00000105	F48F7.1a.3	F48F7.1a.3	alg-1	181504
WBGene00000105	F48F7.1b.1	F48F7.1b.1	alg-1	181504
WBGene00000106	T07D3.7a.1	T07D3.7a.1	alg-2	173468
WBGene00000106	T07D3.7b.1	T07D3.7b.1	alg-2	173468
WBGene00000107	F54D8.3a.1	F54D8.3a.1	alh-1	175691
WBGene00000107	F54D8.3b.1	F54D8.3b.1	alh-1	175691
WBGene00000107	F54D8.3b.2	F54D8.3b.2	alh-1	175691
WBGene00000108	K04F1.15.1	K04F1.15.1	alh-2	187001
WBGene00000109	F36H1.6.1	F36H1.6.1	alh-3	177999
WBGene00000110	T05H4.13a.1	T05H4.13a.1	alh-4	179026
WBGene00000110	T05H4.13b.1	T05H4.13b.1	alh-4	179026
WBGene00000110	T05H4.13c.1	T05H4.13c.1	alh-4	179026
WBGene00000110	T05H4.13d.1	T05H4.13d.1	alh-4	179026
WBGene00000111	T08B1.3.1	T08B1.3.1	alh-5	178680
WBGene00000112	F56D12.1a.1	F56D12.1a.1	alh-6	173510
WBGene00000112	F56D12.1a.2	F56D12.1a.2	alh-6	173510
WBGene00000112	F56D12.1b.1	F56D12.1b.1	alh-6	173510
WBGene00000112	F56D12.1c.1	F56D12.1c.1	alh-6	173510
WBGene00000112	F56D12.1d.1	F56D12.1d.1	alh-6	173510
WBGene00000113	F45H10.1a.1	F45H10.1a.1	alh-7	174991
WBGene00000113	F45H10.1b.1	F45H10.1b.1	alh-7	174991
WBGene00000114	F13D12.4a.1	F13D12.4a.1	alh-8	174800
WBGene00000114	F13D12.4b.1	F13D12.4b.1	alh-8	174800
WBGene00000115	F01F1.6.1	F01F1.6.1	alh-9	175820
WBGene00000115	F01F1.6.2	F01F1.6.2	alh-9	175820
WBGene00000116	C54D1.4.1	C54D1.4.1	alh-10	180979
WBGene00000117	F42G9.5a.1	F42G9.5a.1	alh-11	185679
WBGene00000117	F42G9.5b.1	F42G9.5b.1	alh-11	185679
WBGene00000117	F42G9.5b.2	F42G9.5b.2	alh-11	185679
WBGene00000118	Y69F12A.2a.1	Y69F12A.2a.1	alh-12	176056
WBGene00000118	Y69F12A.2b.1	Y69F12A.2b.1	alh-12	176056
WBGene00000120	C01F6.5.1	C01F6.5.1	aly-1	177735
WBGene00000121	F23B2.6.1	F23B2.6.1	aly-2	177738
WBGene00000122	M18.7a.1	M18.7a.1	aly-3	178157
WBGene00000122	M18.7b		aly-3	178157
WBGene00000123	F36A4.7.1	F36A4.7.1	ama-1	177190
WBGene00000133	C05E11.4.1	C05E11.4.1	amt-1	180729
WBGene00000134	F49E11.3.1	F49E11.3.1	amt-2	186047
WBGene00000135	M195.3.1	M195.3.1	amt-3	174338
WBGene00000136	C05E11.5.1	C05E11.5.1	amt-4	180728
WBGene00000137	R13G10.2.1	R13G10.2.1	amx-1	175493
WBGene00000138	B0019.1.1	B0019.1.1	amx-2	173146
WBGene00000139	F25C8.2a.1	F25C8.2a.1	amx-3	184919
WBGene00000139	F25C8.2b.1	F25C8.2b.1	amx-3	184919
WBGene00000140	ZK973.6a.1	ZK973.6a.1	anc-1	172034
WBGene00000140	ZK973.6b.1	ZK973.6b.1	anc-1	172034
WBGene00000140	ZK973.6c.1	ZK973.6c.1	anc-1	172034
WBGene00000142	C08B6.9.1	C08B6.9.1	aos-1	179409
WBGene00000143	K06H7.6.1	K06H7.6.1	apc-2	176139
WBGene00000144	F15H10.3a.1	F15H10.3a.1	apc-10	179454
WBGene00000144	F15H10.3b.1	F15H10.3b.1	apc-10	179454
WBGene00000144	F15H10.3c.1	F15H10.3c.1	apc-10	179454
WBGene00000144	F15H10.3d.1	F15H10.3d.1	apc-10	179454
WBGene00000145	F35G12.9.1	F35G12.9.1	apc-11	175604
WBGene00000146	F46F3.4a.1	F46F3.4a.1	ape-1	179601
WBGene00000146	F46F3.4b.1	F46F3.4b.1	ape-1	179601
WBGene00000146	F46F3.4c.1	F46F3.4c.1	ape-1	179601
WBGene00000146	F46F3.4d.1	F46F3.4d.1	ape-1	179601
WBGene00000147	VF36H2L.1.1	VF36H2L.1.1	aph-1	172747
WBGene00000148	ZC434.6a.1	ZC434.6a.1	aph-2	172905
WBGene00000148	ZC434.6b.1	ZC434.6b.1	aph-2	172905
WBGene00000149	C42D8.8a.1	C42D8.8a.1	apl-1	180783
WBGene00000149	C42D8.8b.1	C42D8.8b.1	apl-1	180783
WBGene00000150	F55A12.7.1	F55A12.7.1	apm-1	172180
WBGene00000151	T05H10.2.1	T05H10.2.1	apn-1	174291
WBGene00000155	W03G9.4.1	W03G9.4.1	app-1	172118
WBGene00000156	K04G2.8a.1	K04G2.8a.1	apr-1	172591
WBGene00000156	K04G2.8b.1	K04G2.8b.1	apr-1	172591
WBGene00000156	K04G2.8c.1	K04G2.8c.1	apr-1	172591
WBGene00000157	F02E8.3.1	F02E8.3.1	aps-2	184091
WBGene00000158	Y105E8A.9.1	Y105E8A.9.1	apg-1	173304
WBGene00000159	F29G9.3.1	F29G9.3.1	aps-1	178989
WBGene00000160	Y71H2B.10.1	Y71H2B.10.1	apb-1	175376
WBGene00000161	T20B5.1.1	T20B5.1.1	apa-2	181163
WBGene00000162	W09G10.4a.1	W09G10.4a.1	apd-3	173701
WBGene00000162	W09G10.4b.1	W09G10.4b.1	apd-3	173701
WBGene00000163	R11A5.1a.1	R11A5.1a.1	apb-3	172553
WBGene00000163	R11A5.1b.1	R11A5.1b.1	apb-3	172553
WBGene00000164	F53H8.1.1	F53H8.1.1	apm-3	186194
WBGene00000165	Y48G8AL.14.1	Y48G8AL.14.1	aps-3	171691
WBGene00000166	W04G3.4.1	W04G3.4.1	apt-9	189194
WBGene00000168	K08D9.3a.1	K08D9.3a.1	apx-1	178759
WBGene00000168	K08D9.3b		apx-1	178759
WBGene00000168	K08D9.3c		apx-1	178759
WBGene00000168	K08D9.3d		apx-1	178759
WBGene00000168	K08D9.3e.1	K08D9.3e.1	apx-1	178759
WBGene00000168	K08D9.3f.1	K08D9.3f.1	apx-1	178759
WBGene00000169	F32A5.5a.1	F32A5.5a.1	aqp-1	174190
WBGene00000169	F32A5.5b.1	F32A5.5b.1	aqp-1	174190
WBGene00000170	C01G6.1a.1	C01G6.1a.1	aqp-2	174467
WBGene00000170	C01G6.1b.1	C01G6.1b.1	aqp-2	174467
WBGene00000170	C01G6.1b.2	C01G6.1b.2	aqp-2	174467
WBGene00000171	Y69E1A.7a.1	Y69E1A.7a.1	aqp-3	190553
WBGene00000171	Y69E1A.7b.1	Y69E1A.7b.1	aqp-3	190553
WBGene00000171	Y69E1A.7c.1	Y69E1A.7c.1	aqp-3	190553
WBGene00000172	F40F9.9.1	F40F9.9.1	aqp-4	179366
WBGene00000173	C35A5.1.1	C35A5.1.1	aqp-5	183221
WBGene00000174	C32C4.2a.1	C32C4.2a.1	aqp-6	183121
WBGene00000174	C32C4.2b.1	C32C4.2b.1	aqp-6	183121
WBGene00000174	C32C4.2c.1	C32C4.2c.1	aqp-6	183121
WBGene00000175	M02F4.8a.1	M02F4.8a.1	aqp-7	180589
WBGene00000175	M02F4.8a.2	M02F4.8a.2	aqp-7	180589
WBGene00000175	M02F4.8b.1	M02F4.8b.1	aqp-7	180589
WBGene00000176	K02G10.7a.1	K02G10.7a.1	aqp-8	180744
WBGene00000176	K02G10.7b.1	K02G10.7b.1	aqp-8	180744
WBGene00000176	K02G10.7b.2	K02G10.7b.2	aqp-8	180744
WBGene00000176	K02G10.7c.1	K02G10.7c.1	aqp-8	180744
WBGene00000176	K02G10.7d.1	K02G10.7d.1	aqp-8	180744
WBGene00000177	K07A1.16a.1	K07A1.16a.1	aqp-9	3565336
WBGene00000177	K07A1.16a.2	K07A1.16a.2	aqp-9	3565336
WBGene00000177	K07A1.16b.1	K07A1.16b.1	aqp-9	3565336
WBGene00000178	ZK1321.3.1	ZK1321.3.1	aqp-10	174537
WBGene00000179	ZK525.2.1	ZK525.2.1	aqp-11	191343
WBGene00000180	ZK1320.6.1	ZK1320.6.1	arc-1	174525
WBGene00000181	F01G4.2a.1	F01G4.2a.1	ard-1	178016
WBGene00000181	F01G4.2b.1	F01G4.2b.1	ard-1	178016
WBGene00000182	B0336.2.1	B0336.2.1	arf-1	175801
WBGene00000182	B0336.2.2	B0336.2.2	arf-1	175801
WBGene00000183	F57H12.1.1	F57H12.1.1	arf-5	177595
WBGene00000184	Y116A8C.12.1	Y116A8C.12.1	arf-6	191608
WBGene00000185	F31A9.3.1	F31A9.3.1	arg-1	180501
WBGene00000186	C01C7.1a.1	C01C7.1a.1	ark-1	178218
