Gene stable ID	RefSeq peptide ID
ENSRNOG00000064641	
ENSRNOG00000032625	
ENSRNOG00000070168	NP_001000130
ENSRNOG00000033395	NP_001000302
ENSRNOG00000029315	
ENSRNOG00000029996	
ENSRNOG00000062643	
ENSRNOG00000028288	NP_001014048
ENSRNOG00000050129	
ENSRNOG00000018029	NP_001011937
ENSRNOG00000062643	NP_001001069
ENSRNOG00000066660	
ENSRNOG00000016356	NP_036703
ENSRNOG00000070901	NP_001129214
ENSRNOG00000069093	
ENSRNOG00000031391	NP_001163050
ENSRNOG00000009377	NP_001101287
ENSRNOG00000015810	
ENSRNOG00000066169	
ENSRNOG00000027204	NP_058900
ENSRNOG00000022863	NP_001102659
ENSRNOG00000017538	NP_001137228
ENSRNOG00000015810	NP_001011930
ENSRNOG00000010349	NP_067701
ENSRNOG00000016356	
ENSRNOG00000069410	NP_001000551
ENSRNOG00000065199	
ENSRNOG00000027204	
ENSRNOG00000013596	NP_001099878
ENSRNOG00000010349	
ENSRNOG00000064304	NP_001000556
ENSRNOG00000017538	NP_001107261
ENSRNOG00000014903	
ENSRNOG00000017748	NP_001101028
ENSRNOG00000013596	
ENSRNOG00000015499	NP_001104281
ENSRNOG00000011160	NP_476555
ENSRNOG00000014903	NP_954535
ENSRNOG00000016227	NP_116003
ENSRNOG00000015499	
ENSRNOG00000013395	NP_445825
ENSRNOG00000016906	NP_001102387
ENSRNOG00000004753	NP_001178895
ENSRNOG00000015691	NP_001101183
ENSRNOG00000070448	
ENSRNOG00000020317	NP_001013944
ENSRNOG00000015691	
ENSRNOG00000065290	NP_001000552
ENSRNOG00000016227	
ENSRNOG00000067171	
ENSRNOG00000021051	NP_446363
ENSRNOG00000004753	
ENSRNOG00000021051	
ENSRNOG00000070096	NP_001000118
ENSRNOG00000062311	NP_001001376
ENSRNOG00000010595	NP_695218
ENSRNOG00000009830	NP_001100918
ENSRNOG00000069707	
ENSRNOG00000063184	NP_001000200
ENSRNOG00000067491	
ENSRNOG00000012742	NP_001034594
ENSRNOG00000020337	NP_001165589
ENSRNOG00000027582	NP_037065
ENSRNOG00000016408	
ENSRNOG00000070569	
ENSRNOG00000065122	NP_001292192
ENSRNOG00000070655	NP_001000563
ENSRNOG00000069837	
ENSRNOG00000063387	NP_001000765
ENSRNOG00000016408	NP_997489
ENSRNOG00000008121	NP_113839
ENSRNOG00000063387	
ENSRNOG00000064203	
ENSRNOG00000013790	NP_001178776
ENSRNOG00000008463	
ENSRNOG00000070996	NP_001040554
ENSRNOG00000015184	
ENSRNOG00000008121	
ENSRNOG00000008463	NP_001040581
ENSRNOG00000020893	NP_001103621
ENSRNOG00000020893	NP_690060
ENSRNOG00000070996	
ENSRNOG00000013767	NP_001099699
ENSRNOG00000015184	NP_001013098
ENSRNOG00000030782	NP_001001010
ENSRNOG00000064203	NP_001000904
ENSRNOG00000069399	
ENSRNOG00000013790	
